공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
파팡포레 ,0.0,0건,리뷰 30,인천 부평구 시장로 25 2층,(지번) 부평동 193-3,031-346-6262,http://blog.naver.com/parfum_foret,200
엉클캔들 ,5.0,4건,리뷰 13,서울 마포구 와우산로29길 48-17,(지번) 서교동 330-5,02-323-8819,,
유락공방 ,0.0,0건,리뷰 13,경기 성남시 분당구 성남대로 165 508호,(지번) 금곡동 161,010-8721-1584,http://blog.naver.com/ohyunj157,200
제이유캔들 ,0.0,0건,리뷰 24,경남 김해시 금관대로1190번길 50,(지번) 외동 1244-8,연락처 없음,http://blog.naver.com/shpkjh48,200
꼬밀레 ,0.0,0건,리뷰 1,부산 연제구 과정로192번길 10 1층,(지번) 연산동 419-3,010-7701-4449,https://blog.naver.com/kkomile,200
니어앤디어 ,0.0,0건,리뷰 13,경남 김해시 함박로 164 1층,(지번) 외동 1261-1,연락처 없음,http://nearanddear.modoo.at/,200
솝퍼리 ,0.0,0건,리뷰 5,서울 성동구 왕십리로30길 12 1층,(지번) 홍익동 373-2,연락처 없음,https://blog.naver.com/soapery_ebi,200
로이베어 ,0.0,0건,리뷰 2,서울 송파구 위례광장로 170 상가 A동 209호,(지번) 장지동 420,연락처 없음,https://blog.naver.com/loibear,200
네아 ,0.0,0건,리뷰 27,인천 미추홀구 낙섬서로10번길 9-15,(지번) 용현동 627-215,연락처 없음,,
솝퍼리 ,0.0,0건,리뷰 5,서울 강남구 테헤란로53길 57-17 1층,(지번) 역삼동 698-6,연락처 없음,https://blog.naver.com/soapery_daechi,200
프롬디센트베이비브레스 ,0.0,0건,리뷰 9,서울 양천구 목동중앙본로 49,(지번) 목동 315-57,070-4656-6225,http://www.babybreathcandle.com/,200
꿀비공방 ,0.0,0건,리뷰 4,울산 중구 오산2길 28-5 1층,(지번) 태화동 769-1,연락처 없음,https://www.instagram.com/honey_r_ain/,접속불가
리꼬벨로 ,0.0,0건,리뷰 29,경기 부천시 계남로 297,(지번) 춘의동 130-11,연락처 없음,http://blog.naver.com/riccobello,200
봉쓰핸드메이드 ,0.0,0건,리뷰 16,경기 수원시 팔달구 화서문로45번길 2,(지번) 장안동 283,010-2611-0125,https://www.instagram.com/bongshandmade/,접속불가
향기갤러리 ,0.0,0건,리뷰 7,서울 양천구 곰달래로11길 43,(지번) 신월동 107-17,010-3261-6418,https://scentgallery.modoo.at/,접속불가
블레스아뜰리에 ,0.0,0건,리뷰 8,충남 천안시 서북구 백석로 215,(지번) 성정동 960,010-2762-4466,https://blog.naver.com/hakdary78,200
아로마젠타 ,0.0,0건,리뷰 3,서울 서초구 효령로 428 광림빌딩 402호,(지번) 서초동 1340-2,010-4972-1268,http://www.aromagenta.co.kr/,200
굿밤 생활용품점,0.0,0건,리뷰 28,"충북 청주시 상당구 상당로91번길 38-2 1, 6층",(지번) 북문로1가 130-1,010-4972-1268,https://blog.naver.com/goodbamyoon/,200
아름아뜰리에 ,0.0,0건,리뷰 11,인천 서구 서곶로 16 한신종합상가 B103호,(지번) 가정동 546,010-4972-1268,https://blog.naver.com/yk990514/,200
레오네 ,0.0,0건,리뷰 19,경남 김해시 덕정로138번안길 17-1,(지번) 관동동 454-23,연락처 없음,https://blog.naver.com/sp1920/,200
민들레다락방 ,0.0,0건,리뷰 13,경기 수원시 권선구 동수원로146번길 89 1층 101호,(지번) 곡반정동 503-6,연락처 없음,http://blog.naver.com/mindle0711,200
메모센트 ,1.0,1건,리뷰 13,경기 김포시 김포한강10로133번길 126 지하 1층,(지번) 구래동 6871-41,010-5170-9392,https://memoscent.modoo.at/,200
바른테라피 윤공방 ,0.0,0건,리뷰 4,경기 파주시 교하로159번길 30-16,(지번) 목동동 1074,070-7807-1970,https://blog.naver.com/yoon2826,200
아롬블랑 ,0.0,0건,리뷰 14,경기 안산시 단원구 고잔2길 42 동아아케이트빌딩 206호,(지번) 고잔동 537-3,031-402-2247,https://blog.naver.com/a-blanc,200
나무뜨락 ,0.0,0건,리뷰 4,전남 광양시 광양읍 숲샘길 12,(지번) 광양읍 칠성리 510,연락처 없음,,
아뜰리에 ,0.0,0건,리뷰 1,경남 양산시 물금읍 야리로 27-37 디엔뷰 3층 303호,(지번) 물금읍 가촌리 1270-5,070-8869-2214,https://www.instagram.com/ateliersheila/,접속불가
더리안 ,0.0,0건,리뷰 21,경기 의정부시 용현로 184-2,(지번) 민락동 696-5,070-8869-2214,http://www.theriahn.com/,200
향기다움 ,5.0,1건,리뷰 3,제주특별자치도 서귀포시 표선면 표선관정로 10,(지번) 표선면 표선리 2059-8,연락처 없음,https://www.instagram.com/hyanggidaum/,접속불가
뮤게 ,0.0,0건,리뷰 2,부산 남구 용소로34번길 6-4,(지번) 대연동 504,연락처 없음,,
고마워비누가게 ,0.0,0건,리뷰 8,부산 수영구 남천동로9번길 33,(지번) 남천동 11-20,연락처 없음,https://www.instagram.com/gomabi_/,접속불가
라벤더민트 ,5.0,1건,리뷰 3,경기 수원시 팔달구 동말로57번길 8,(지번) 화서동 107-4,연락처 없음,http://blog.naver.com/candleun,200
트루지니 ,0.0,0건,리뷰 2,인천 미추홀구 인주대로408번길 24 1층,(지번) 주안동 1466-10,010-8636-3399,http://blog.naver.com/skyjin_2002,200
피우다 ,0.0,0건,리뷰 3,충북 청주시 서원구 사직대로89번길 16,(지번) 사창동 139-29,연락처 없음,http://blog.naver.com/baby_memory,200
미누네이처 ,0.0,0건,리뷰 23,경기 부천시 길주로 276 무광오피스 602호,(지번) 중동 1141-1,032-226-6477,http://www.minu.co.kr/,200
유일향 ,0.0,0건,리뷰 4,경기 용인시 기흥구 갈천로 72-2 2층,(지번) 상갈동 101-9,032-226-6477,https://www.instagram.com/you.il.hyang/,접속불가
조이페페 ,0.0,0건,리뷰 5,광주 광산구 수등로258번길 4-10 1층,(지번) 신가동 1015-11,연락처 없음,http://blog.naver.com/joypepe93,200
러빈작업실 ,0.0,0건,리뷰 2,경기 고양시 덕양구 동산1로 50,(지번) 동산동 343,010-5311-1995,,
바이루시 ,0.0,0건,리뷰 2,전남 순천시 덕연로 73,(지번) 조례동 1265-2,070-7375-7988,http://blog.naver.com/kiss4736,200
나드센트 ,0.0,0건,리뷰 2,경기 시흥시 서울대학로278번길 61 베니스스퀘어 S동 4층 411-2호,(지번) 정왕동 2537-2,070-7375-7988,http://nardscent.com/,200
향기공방 ,0.0,0건,리뷰 13,대전 서구 대덕대로185번길 14 4층 401호,(지번) 둔산동 1048,070-7375-7988,https://blog.naver.com/limji9106100,200
로워라 ,0.0,0건,리뷰 1,광주 북구 첨단과기로208번길 43-10,(지번) 오룡동 1110-22,010-4669-2613,https://rowaraa.modoo.at/,200
뷰티풀아뜰리에 ,5.0,1건,리뷰 0,서울 서초구 방배중앙로 102,(지번) 방배동 857-1,연락처 없음,,
곱뜨락아띠 ,0.0,0건,리뷰 1,제주특별자치도 서귀포시 안덕면 사계중앙로3번길 22,(지번) 안덕면 사계리 2266-1,010-9145-0002,https://blog.naver.com/g_atti,200
베리트공방 ,5.0,1건,리뷰 7,서울 서초구 서초중앙로31길 18 101호,(지번) 반포동 49-7,070-8065-1902,https://blog.naver.com/berithcandle,200
샤카 ,0.0,0건,리뷰 3,서울 마포구 포은로2가길 6,(지번) 합정동 437-5,연락처 없음,https://www.instagram.com/shaka_perfumery/,접속불가
아로밀스튜디오 ,0.0,0건,리뷰 26,인천 부평구 안남로 260 산곡동현대5차아파트 1차상가 3층,(지번) 산곡동 124-1,연락처 없음,https://blog.naver.com/jjkk1026/,200
오늘도늘이곳에 ,0.0,0건,리뷰 4,경기 의왕시 내손순환로 133,(지번) 내손동 674-3,연락처 없음,https://blog.naver.com/tk-love,200
헬로유니콘 ,0.0,0건,리뷰 4,인천 남동구 인주대로610번길 13 지층,(지번) 구월동 201-42,032-214-5244,http://www.hello-unicorn.com/,200
하이애플 ,0.0,0건,리뷰 2,경기 수원시 장안구 경수대로927번길 16,(지번) 송죽동 500-34,연락처 없음,https://blog.naver.com/studiohiapple,200
라홈 ,0.0,0건,리뷰 9,경기 김포시 초당로61번길 20-9,(지번) 장기동 1958-6,연락처 없음,https://blog.naver.com/laromecraft,200
르메스 ,0.0,0건,리뷰 3,서울 강서구 마곡중앙6로 21 마곡이너매스 701호,(지번) 마곡동 727-1036,연락처 없음,https://www.instagram.com/lemes____,접속불가
데이데이테라피 ,0.0,0건,리뷰 98,경기 고양시 일산동구 정발산로 19 지평프라자 402-2호,(지번) 장항동 863,연락처 없음,http://www.daydaytherapy.com/,200
라이블리캔들 ,0.0,0건,리뷰 1,경기 성남시 수정구 위례서일로 34 성희프라자,(지번) 창곡동 559-8,연락처 없음,https://blog.naver.com/seoyeon3818/,200
조이내추럴 ,0.0,0건,리뷰 50,경기 양주시 고읍남로191번길 69-33 1층,(지번) 광사동 680-13,010-7580-3180,https://blog.naver.com/nani3733,200
감성다락방 ,0.0,0건,리뷰 1,인천 남동구 서창방산로 55 서창비전프라자 410호,(지번) 서창동 708-3,연락처 없음,http://blog.naver.com/attic2255,200
디차드 ,5.0,1건,리뷰 3,서울 송파구 오금로11길 55-8 1층 101호,(지번) 방이동 49-4,연락처 없음,,
고르토리 ,0.0,0건,리뷰 4,서울 용산구 이태원로19길 6-6 2층,(지번) 이태원동 118-22,연락처 없음,https://www.instagram.com/go_rtori/,접속불가
"Cafe,수림공방 문화,예술",0.0,0건,리뷰 4,경기 안산시 단원구 중앙대로 921,(지번) 고잔동 541-1,연락처 없음,,
미래공방 ,0.0,0건,리뷰 1,경기 화성시 비봉면 양노로 80,(지번) 비봉면 양노리 283,010-6604-1801,https://blog.naver.com/bboiyo1120/,200
그린아트 ,0.0,0건,리뷰 3,서울 송파구 마천로51길 20 1층 3호,(지번) 마천동 184-45,010-6604-1801,https://blog.naver.com/hmw310,200
더리한 ,0.0,0건,리뷰 1,경기 의정부시 용현로 184-2,(지번) 민락동 696-5,연락처 없음,,
