공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
77유리 ,0.0,0건,리뷰 0,서울 송파구 백제고분로41길 22,(지번) 송파동 25-3,02-414-3338,,
거성표구유리 ,0.0,0건,리뷰 0,부산 사상구 사상로 525,(지번) 모라동 647-11,연락처 없음,,
한신유리 ,0.0,0건,리뷰 0,경기 구리시 검배로84번길 30,(지번) 수택동 595-13,031-551-3359,,
유리공주 ,0.0,0건,리뷰 0,경북 포항시 남구 중앙로67번길 3,(지번) 해도동 81-1,연락처 없음,,
유리병공예연구소 ,0.0,0건,리뷰 0,경기 평택시 평택1로 106-1,(지번) 비전동 433-20,031-654-8668,,
공간유리액자 ,5.0,1건,리뷰 0,충북 청주시 서원구 창직로 96,(지번) 사직동 632-3,043-263-0893,,
영진유리표구 ,0.0,0건,리뷰 0,서울 동작구 성대로 24,(지번) 상도동 314-13,02-822-4508,,
대명유리표구 ,0.0,0건,리뷰 0,인천 서구 가정로 116,(지번) 가좌동 144-21,032-575-8888,http://blog.naver.com/62baksa,200
유리랑거울이랑 ,0.0,0건,리뷰 0,서울 중랑구 면목로58길 15,(지번) 면목동 410-29,02-432-9803,,
동명유리 ,0.0,0건,리뷰 0,전남 강진군 강진읍 영랑로4길 7,(지번) 강진읍 남성리 31-1,061-434-2051,,
대성유리 ,0.0,0건,리뷰 0,서울 성북구 정릉로26길 58,(지번) 정릉동 141-9,연락처 없음,,
금강아트유리공예 ,0.0,0건,리뷰 0,인천 부평구 신트리로22번길 7-10,(지번) 부평동 886-3,연락처 없음,http://kc62.com/,200
유리멘탈스튜디오 ,0.0,0건,리뷰 0,제주특별자치도 제주시 한경면 낙수로 12,(지번) 한경면 조수리 1464-8,연락처 없음,https://instagram.com/jaemy_jeju,접속불가
유리와 ,0.0,0건,리뷰 2,서울 양천구 은행정로4길 9 2층,(지번) 신정동 1019-16,연락처 없음,,
광일유리 ,0.0,0건,리뷰 0,서울 영등포구 대방천로 231,(지번) 신길동 4066,02-848-5335,,
진광유리 ,0.0,0건,리뷰 0,서울 중구 수표로6길 30,(지번) 충무로3가 56-19,02-2275-8412,,
그리고유리스튜디오 ,0.0,0건,리뷰 0,경기 이천시 모가면 진상미로1178번길 128,(지번) 모가면 서경리 215-1,연락처 없음,,
유리자수 ,0.0,0건,리뷰 0,인천 서구 심곡로 11 광명아파트 101동 301호,(지번) 심곡동 336-1,010-2622-1494,http://www.yurijasu.com/,접속불가
코코유리소 ,0.0,0건,리뷰 0,경기 안산시 단원구 선부광장북로 67,(지번) 선부동 1086,연락처 없음,,
놀아줘유리 ,0.0,0건,리뷰 0,서울 종로구 인사동길 44 쌈지길 내,(지번) 관훈동 38,02-733-0370,,
유리별 핸드메이드 ,0.0,0건,리뷰 0,강원 원주시 이화3길 24,(지번) 단계동 936-5,010-4694-6209,https://smartstore.naver.com/yuristar,200
유리조형연구소 ,0.0,0건,리뷰 0,인천 남동구 백범로214번길 34,(지번) 만수동 856-24,연락처 없음,,
신라표구사 ,5.0,10건,리뷰 0,경기 의정부시 평화로 572,(지번) 의정부동 205-8,연락처 없음,,
원진액자 ,0.0,0건,리뷰 0,광주 서구 화정로 61,(지번) 쌍촌동 1219-1,062-376-9969,,
백두액자 ,0.0,0건,리뷰 0,경기 화성시 봉담읍 유리마을길 16-6,(지번) 봉담읍 유리 291,031-297-1339,,
아트2000 ,3.0,2건,리뷰 0,제주특별자치도 제주시 월랑북3길 17,(지번) 노형동 1021-4,연락처 없음,http://www.jejuart2000.blog.me/,200
정호표구사 ,0.0,0건,리뷰 0,광주 서구 화운로304번길 22,(지번) 광천동 203,062-362-3178,,
복음액자 ,0.0,0건,리뷰 0,대전 동구 태전로 120-2,(지번) 삼성동 318-23,042-633-6757,,
