공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
"한국전통공예산업진흥협회 단체,협회",0.0,0건,리뷰 0,충북 청주시 청원구 상당로 314 청주첨단문화산업단지 222호,(지번) 내덕동 201-31,043-213-1101,http://www.tcakorea.org/,200
전통공예찻집 카페,0.0,0건,리뷰 0,충북 음성군 음성읍 시장로 11,(지번) 음성읍 평곡리 852-15,연락처 없음,,
이조전통공예 가구판매,0.0,0건,리뷰 0,경기 이천시 신둔면 원적로532번길 19-75,(지번) 신둔면 장동리 78-4,031-636-7701,,
전통공예체험협동조합 산업용품,0.0,0건,리뷰 0,경남 김해시 덕정로138번길 15-7,(지번) 관동동 457-19,연락처 없음,,
한국전통공예가구 가구판매,0.0,0건,리뷰 0,경기 용인시 기흥구 언동로 216,(지번) 상하동 482-1,031-281-2813,,
보림전통한지공예 ,0.0,0건,리뷰 0,경기 부천시 소사로202번길 29,(지번) 소사본동 155-21,032-347-2661,,
전통공예가구 가구판매,0.0,0건,리뷰 0,서울 강서구 금낭화로 286,(지번) 방화동 813-7,연락처 없음,,
하연전통한지공예연구소 ,0.0,0건,리뷰 0,전남 곡성군 석곡면 유평길 25-13,(지번) 석곡면 유정리 390-2,연락처 없음,,
전통공예 ,0.0,0건,리뷰 0,부산 부산진구 서면로 59,(지번) 부전동 502-3,연락처 없음,,
전통민속공예 ,0.0,0건,리뷰 0,부산 사하구 제석로18번길 19,(지번) 하단동 623-15,051-203-5828,,
전통공예 ,0.0,0건,리뷰 0,경남 김해시 함박로119번길 25,(지번) 외동 1259-1,055-905-2933,,
"전통공예문화협회 대전동구지부 단체,협회",0.0,0건,리뷰 0,대전 동구 우암로 290,(지번) 가양동 393-1,연락처 없음,,
전통공예문화협회 한국창작종이문화원,0.0,0건,리뷰 0,경기 안산시 단원구 이삭4길 12,(지번) 고잔동 752-6,031-401-4540,,
민속전통공예 골동품,0.0,0건,리뷰 0,서울 도봉구 도당로27길 48,(지번) 방학동 651-35,02-900-1067,,
전통공예전시장 전시관,0.0,0건,리뷰 0,충남 보령시 청라면 대청로 727-10,(지번) 청라면 의평리 548,연락처 없음,,
"한국전통민속공예협회 단체,협회",0.0,0건,리뷰 0,경기 성남시 중원구 산성대로 626,(지번) 은행동 82-3,031-735-7734,http://hmh.kr/,200
한국전통민속공예 ,0.0,0건,리뷰 0,서울 중구 남대문시장4길 9,(지번) 남창동 33-83,02-755-0689,,
"한국전통민속공예협회 단체,협회",0.0,0건,리뷰 0,경기 성남시 중원구 갈마치로 302,(지번) 상대원동 144-3,031-735-7734,,
사단법인한국전통민속공예협회 ,0.0,0건,리뷰 0,서울 중랑구 겸재로 204,(지번) 면목동 105-22,031-735-7734,,
전통공예산업진흥협회 기념품판매,0.0,0건,리뷰 0,인천 미추홀구 매소홀로446번길 20,(지번) 학익동 675-7,032-873-5989(팩스),,
한국공예디자인문화진흥원 갤러리,5.0,1건,리뷰 14,서울 종로구 인사동11길 8,(지번) 관훈동 182-2,02-732-9382,http://www.kcdf.or.kr/,접속불가
풀짚공예박물관 박물관,0.0,0건,리뷰 3,경기 광주시 오포읍 문형산길 76,(지번) 오포읍 신현리 331-5,02-732-9382,http://www.pulzip.com/,200
이조공예 가구,0.0,0건,리뷰 1,경기 이천시 마장면 서이천로 449-19,(지번) 마장면 목리 397,연락처 없음,http://www.oldejo.co.kr/,200
휴암옻칠공예문화원 ,0.0,0건,리뷰 0,경북 경산시 와촌면 하양로 454-10,(지번) 와촌면 계당리 166,053-853-5782,http://www.hyuam.com/,200
대봉공예 악기판매점,0.0,0건,리뷰 0,경남 거창군 거창읍 밤티재로 1273-33,(지번) 거창읍 정장리 129-3,연락처 없음,,
본태박물관 박물관,3.2,82건,리뷰 182,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,(지번) 안덕면 상천리 380,연락처 없음,http://www.bontemuseum.com/,200
진안군가위박물관 박물관,4.0,1건,리뷰 21,전북 진안군 진안읍 마이산로 258,(지번) 진안읍 단양리 690-15,연락처 없음,http://www.scissormuseum.kr/,접속불가
우륵박물관 박물관,3.0,1건,리뷰 8,경북 고령군 대가야읍 가야금길 98,(지번) 대가야읍 쾌빈리 162,연락처 없음,http://daegaya.net/02exhibit/03_01.asp,200
온양민속박물관 박물관,4.4,13건,리뷰 64,충남 아산시 충무로 123,(지번) 권곡동 403-1,연락처 없음,http://www.onyangmuseum.or.kr/,200
"중구문화의전당 공연장,연극극장",0.0,0건,리뷰 24,울산 중구 종가로 405,(지번) 성안동 244,052-290-4000,http://artscenter.junggu.ulsan.kr/,200
원주역사박물관 박물관,3.0,3건,리뷰 32,강원 원주시 봉산로 134,(지번) 봉산동 836-1,052-290-4000,http://whm.wonju.go.kr/,접속불가
한국미술관 미술관,5.0,1건,리뷰 13,서울 종로구 인사동길 12 대일빌딩 2층,(지번) 인사동 43,052-290-4000,http://www.koreagallery.co.kr/,200
자연염색박물관 박물관,0.0,0건,리뷰 1,대구 동구 파계로112길 17,(지번) 중대동 467,052-290-4000,http://www.naturaldyeing.net/,200
공예마을 ,0.0,0건,리뷰 0,경기 고양시 일산서구 덕산로189번길 44,(지번) 가좌동 98-21,031-923-7197,,
은혜한지공예 ,0.0,0건,리뷰 1,인천 부평구 경원대로 1358,(지번) 부평동 534-60,032-207-7733,,
롯데월드 민속박물관 박물관,3.5,2건,리뷰 31,서울 송파구 올림픽로 240,(지번) 잠실동 40-1,032-207-7733,http://www.lotteworld.com/museum,200
수성구관광정보체험센터 문화시설,5.0,1건,리뷰 18,대구 수성구 유니버시아드로 140 스타디움몰 102동 2~4호,(지번) 대흥동 504,032-207-7733,http://www.suseong.kr/tour/index.do?menu_id=00030716,접속불가
종이미술관 미술관,4.9,17건,리뷰 32,경기 안산시 단원구 대남로 233,(지번) 대부남동 460-134,032-207-7733,http://www.xn--zb0bw7zdte34f8nb.kr/ys,200
광양장도박물관 박물관,4.0,1건,리뷰 10,전남 광양시 광양읍 매천로 771,(지번) 광양읍 칠성리 1009-3,032-207-7733,http://www.jangdo.org/main.html,200
스페이스씨 미술관,5.0,3건,리뷰 9,서울 강남구 언주로 827,(지번) 신사동 627-10,032-207-7733,http://www.spacec.co.kr/,200
울주민속박물관 박물관,0.0,0건,리뷰 13,울산 울주군 온양읍 외고산1길 4-19,(지번) 온양읍 고산리 446-1,032-207-7733,http://all.ulju.ulsan.kr/uljufolk/,200
최북미술관 미술관,3.5,2건,리뷰 12,전북 무주군 무주읍 최북로 15,(지번) 무주읍 당산리 918-3,032-207-7733,http://tour.muju.go.kr/art/index.do,200
반곡역사관 박물관,0.0,0건,리뷰 12,강원 원주시 양지로 36,(지번) 반곡동 1889,033-737-5380,,
안성마춤 유기공방 ,0.0,0건,리뷰 3,경기 안성시 중앙로 448,(지번) 봉남동 7-3,033-737-5380,http://www.yugi-museum.com/,접속불가
애보박물관 박물관,0.0,0건,리뷰 3,인천 남동구 만의골로 71,(지번) 운연동 2,033-737-5380,http://www.aebo.co.kr/,200
동서 이조가구 가구판매,0.0,0건,리뷰 0,부산 금정구 부곡동 292-19,(지번) 운연동 2,연락처 없음,,
연명예술촌 전시관,0.0,0건,리뷰 1,경남 통영시 산양읍 연명길 140,(지번) 산양읍 연화리 1124,연락처 없음,,
벼림금속공방 ,5.0,1건,리뷰 8,경북 포항시 북구 삼호로265번길 23 1층,(지번) 두호동 856,010-9449-2297,https://www.instagram.com/ph_silversmith/,접속불가
화문석문화관 전시관,5.0,2건,리뷰 6,인천 강화군 송해면 장정양오길 413,(지번) 송해면 양오리 630-1,연락처 없음,,
공주민속극박물관 박물관,0.0,1건,리뷰 3,충남 공주시 의당면 돌모루1길 40,(지번) 의당면 청룡리 357-2,연락처 없음,https://cafe.naver.com/dolmorootown,200
우노실버 ,0.0,0건,리뷰 2,경기 부천시 삼작로 156,(지번) 내동 135,032-672-3761,http://unosilver.com/,200
상원미술관 미술관,4.0,3건,리뷰 3,서울 종로구 평창31길 27,(지번) 평창동 456-5,032-672-3761,http://www.imageroot.co.kr/,접속불가
인사동마루 문화시설,4.0,1건,리뷰 18,서울 종로구 인사동길 35-6,(지번) 관훈동 196-10,02-2223-2500,http://www.insadongmaru.co.kr/,200
어라연 전각체험관 ,5.0,2건,리뷰 14,서울 종로구 인사동길 34 2층 202호,(지번) 관훈동 18,02-722-8415,http://kaja.re.kr/,200
남근전시관 전시관,0.0,0건,리뷰 0,전북 남원시 아영면 인월장터로 229,(지번) 아영면 인풍리 531-4,연락처 없음,,
공방시와저 ,0.0,0건,리뷰 3,서울 강동구 성안로 101 1층,(지번) 성내동 384-11,02-471-7444,http://siwazo.com/,200
쇠노리공방 ,0.0,0건,리뷰 1,경북 안동시 임하면 금소4길 23-4,(지번) 임하면 금소리 509-76,연락처 없음,,
세령 ,0.0,0건,리뷰 0,서울 종로구 인사동길 44,(지번) 관훈동 38,02-754-0709,http://seryung8.com/,200
공중전화 통영전통공예 공중전화,0.0,0건,리뷰 0,경남 통영시 도남동 642-2,,연락처 없음,,
