공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
가죽공방 메리다 ,0.0,0건,리뷰 0,인천 부평구 부흥로386번길 13 모던하우스 1층,(지번) 부개동 85-14,연락처 없음,https://blog.naver.com/merida5946,200
장아진가죽공방 혁신점 ,0.0,0건,리뷰 5,전북 전주시 덕진구 오공로 90 1층,(지번) 중동 807,연락처 없음,https://blog.naver.com/my_tango,200
갤러리가죽공방 ,0.0,0건,리뷰 13,충남 천안시 서북구 불당31길 38,(지번) 불당동 1648,041-553-2225,,
리드가죽공방 ,0.0,0건,리뷰 2,경기 부천시 중동로254번길 28 3층,(지번) 중동 1151-3,070-8200-7214,,
해리앤가죽공방 ,0.0,0건,리뷰 1,서울 관악구 봉천로 442 태정빌딩 3층,(지번) 봉천동 884-6,010-9219-7159,https://blog.naver.com/harryanne,200
삐삐s빈티지가죽공방 ,0.0,0건,리뷰 0,경북 경산시 백천길 69 매화동 상가 1층,(지번) 백천동 551-91,010-9219-7159,http://blog.naver.com/ree4001,200
가죽공방카페비트원 ,0.0,0건,리뷰 0,부산 연제구 거제대로 246 신라빌딩 2~3층,(지번) 거제동 18-5,051-851-8089,,
오도르 가죽공방 ,0.0,0건,리뷰 0,서울 종로구 통일로12길 37,(지번) 무악동 46-937,010-2745-7928,,
맹가미가죽공방 수원점 ,0.0,0건,리뷰 0,경기 수원시 팔달구 정조로 848-1,(지번) 북수동 339-3,031-242-0122,,
홀츠가죽공방 ,0.0,0건,리뷰 1,경남 김해시 율하카페길 101-16 1층,(지번) 관동동 1111-5,031-242-0122,https://www.instagram.com/holtz_leathercraft,접속불가
윤홍지가죽공방 ,5.0,5건,리뷰 0,충북 청주시 청원구 대성로 262,(지번) 우암동 154-5,연락처 없음,,
가죽공방잔느 ,0.0,0건,리뷰 0,경남 진주시 새평거로 112 엘크루아파트상가 210호,(지번) 평거동 919,010-3343-0010,http://blog.naver.com/jeanne_leather,200
오유가죽공방&커피 ,0.0,0건,리뷰 0,경북 포항시 북구 대신로7번길 15,(지번) 덕수동 42-1,연락처 없음,http://blog.naver.com/happy5uj/,200
가죽공방 레더문 ,3.7,3건,리뷰 0,서울 영등포구 당산로 8,(지번) 문래동3가 58-92,연락처 없음,https://blog.naver.com/zerorikax,200
가죽공방한울 ,0.0,0건,리뷰 0,서울 동대문구 난계로 238 세양빌딩 2층,(지번) 신설동 114-25,02-2207-5464,http://www.xn--3o5bt1y.net/,200
스티치스가죽공방 ,0.0,0건,리뷰 17,서울 금천구 벚꽃로 244 벼산디지털밸리 5차 6층 606-4호,(지번) 가산동 60-73,010-4210-1618,https://blog.naver.com/stitches87,200
스튜디오은은 가죽공방 ,5.0,1건,리뷰 15,충북 청주시 서원구 궁뜰로37번길 6,(지번) 장성동 1-4,010-4210-1618,http://blog.naver.com/thorn43,200
잇녀 가죽공방 ,0.0,0건,리뷰 1,서울 서초구 마방로10길 54-24 1층,(지번) 양재동 271-15,연락처 없음,http://best08itg.hubweb.net/,200
해노리가죽공방 ,0.0,0건,리뷰 0,경남 창원시 성산구 가양로124번길 13,(지번) 대방동 364-1,연락처 없음,,
가죽공방 라비무드 ,0.0,0건,리뷰 3,서울 영등포구 도림로 481 2층,(지번) 문래동4가 8-6,연락처 없음,http://www.laviemude.info/,200
마벨러스가죽공방 ,0.0,0건,리뷰 0,부산 수영구 연수로357번길 21,(지번) 수영동 465-6,010-9785-1203,https://www.instagram.com/marvellous_office/,접속불가
가죽공방로비 ,0.0,0건,리뷰 0,충북 청주시 흥덕구 증안로22번길 35,(지번) 복대동 2598,연락처 없음,,
가죽공방 토글 ,0.0,0건,리뷰 0,경북 포항시 북구 장량주택로21번길 7,(지번) 양덕동 677-2,연락처 없음,http://solglobal.blog.me/,200
가죽공방커플피그 ,5.0,9건,리뷰 0,서울 종로구 자하문로 64,(지번) 효자동 27,010-4663-0513,http://couplepig.com/,접속불가
아이소피카 가죽공방 ,0.0,0건,리뷰 1,서울 서초구 방배천로4안길 52 1층,(지번) 방배동 454-1,연락처 없음,http://blog.naver.com/aesopica,200
이라디에 가죽공방 ,0.0,0건,리뷰 0,서울 동작구 신대방7길 14 지하1층,(지번) 신대방동 690-25,010-8827-6376,https://blog.naver.com/lovekind7,200
아피스가죽공방 ,0.0,0건,리뷰 5,서울 강동구 천중로51길 48 지하,(지번) 길동 330-1,02-6012-8642,http://blog.naver.com/apis-leather,200
아로파 가죽공방 ,1.0,1건,리뷰 1,전북 전주시 완산구 충경로 22-1,(지번) 중앙동1가 36-14,063-227-1907,http://blog.naver.com/kbl4893.do,200
시나브로가죽공방 ,5.0,1건,리뷰 2,경기 수원시 팔달구 효원로249번길 18-17 3층,(지번) 인계동 1044-13,0507-1339-0792,https://www.instagram.com/sinabro_leather/,접속불가
토글가죽공방 본점 ,0.0,0건,리뷰 0,경기 광주시 오포읍 능평로 78-7,(지번) 오포읍 능평리 333-7,070-4001-0420,,
공지안가죽공방 ,0.0,0건,리뷰 0,전남 목포시 연산백련로1번길 16-7 1층 102호,(지번) 연산동 1980-9,010-9220-1129,https://www.instagram.com/gongjian1024/,접속불가
소란가죽공방 ,0.0,0건,리뷰 1,제주특별자치도 제주시 연북로 585,(지번) 이도2동 1986-14,064-755-3272,http://blog.naver.com/rain1978,200
한슬가죽공방 ,0.0,0건,리뷰 18,서울 송파구 송파대로48길 3 1층 102호,(지번) 송파동 8-4,연락처 없음,https://blog.naver.com/seulvely5959,200
레디가죽공방 ,0.0,0건,리뷰 0,인천 연수구 송도동 161-3 캐슬앤해모로 상가 1층,(지번) 송파동 8-4,연락처 없음,http://instagram.com/leathie_j,접속불가
가죽공방뚝딱뚝딱 ,0.0,0건,리뷰 1,서울 은평구 갈현로3길 23 지하1층,(지번) 신사동 271-2,연락처 없음,https://blog.naver.com/standard22,200
안지가죽공방 ,0.0,0건,리뷰 0,서울 송파구 백제고분로19길 12-23 1층,(지번) 잠실동 247-11,연락처 없음,https://blog.naver.com/anzeeacc,200
하모니코가죽공방 ,0.0,0건,리뷰 2,서울 강동구 진황도로49길 41 지하1층,(지번) 길동 229,연락처 없음,http://blog.naver.com/harmonyco,200
라온아토가죽공방 ,0.0,0건,리뷰 5,울산 중구 우정7길 4 1층,(지번) 우정동 385-13,010-5352-3422,http://www.instagram.com/raon_ato_atelier,접속불가
가죽나라공방 ,0.0,0건,리뷰 0,서울 중랑구 봉우재로32길 64,(지번) 면목동 137-7,02-458-7204,,
가죽공방본 ,0.0,0건,리뷰 2,부산 수영구 수영성로 38,(지번) 수영동 253,연락처 없음,http://blog.naver.com/bornleather,200
경아트가죽공방 ,0.0,0건,리뷰 0,전북 전주시 덕진구 장동 1086,,연락처 없음,,
엑소더스가죽공방 ,0.0,0건,리뷰 5,경기 의정부시 체육로 249-5,(지번) 녹양동 400-28,010-2886-5818,https://blog.naver.com/verfa,200
아이리에가죽공방 ,5.0,1건,리뷰 0,서울 용산구 대사관로5길 34 1층,(지번) 한남동 683-61,070-7752-8180,http://ilier.kr/,200
메노라가죽공방 ,0.0,0건,리뷰 0,경북 안동시 서경지7길 35-32,(지번) 태화동 185-22,010-9680-2001,http://blog.naver.com/dhk1419,200
가죽공방 무이 ,0.0,0건,리뷰 0,경북 구미시 금오산로22안길 15-25 1층 102호,(지번) 원평동 435-18,연락처 없음,https://www.instagram.com/studio_mui_/,접속불가
연희동가죽공방 ,0.0,0건,리뷰 0,서울 서대문구 연희맛로 17-7 1층,(지번) 연희동 189-1,연락처 없음,https://instagram.com/yonheeboy,접속불가
가죽공방라마노 ,0.0,0건,리뷰 0,울산 중구 문화의거리 31 지하 1층,(지번) 성남동 3-30,연락처 없음,http://blog.daum.net/jjy0370,200
가죽공방 손 ,0.0,0건,리뷰 0,충북 충주시 중앙로 111,(지번) 성내동 153,연락처 없음,,
가죽공방마이레더 ,1.0,1건,리뷰 0,서울 동대문구 난계로28길 48 동남빌딩 5층 502호,(지번) 신설동 114-49,070-4062-1478,http://www.myleathertool.com/,200
레도가죽공방 ,0.0,0건,리뷰 7,경기 고양시 일산동구 중앙로 1160 오원프라자 4층 415호,(지번) 마두동 805-2,010-6420-1205,https://blog.naver.com/ledocraft,200
가죽공방담음 ,0.0,0건,리뷰 9,경기 수원시 팔달구 정조로623번길 23,(지번) 매교동 269-5,연락처 없음,https://www.instagram.com/gregory.moonsbro/,접속불가
mlv가죽공방 ,0.0,0건,리뷰 0,경기 군포시 금산로 65 래미안하이어스2단지상가 1층,(지번) 산본동 1241,연락처 없음,http://blog.naver.com/mlvleatherworkshop,200
피렌체가죽공방 ,0.0,0건,리뷰 11,경기 수원시 장안구 덕영대로407번길 15 성원탑빌,(지번) 율전동 164-9,070-4829-0216,https://blog.naver.com/goldentree__/,200
브라운앤드 가죽공방 ,5.0,1건,리뷰 2,경기 군포시 번영로 515 6층,(지번) 산본동 1142-1,070-4829-0216,,
가죽공방 갖바치김 ,0.0,0건,리뷰 0,부산 중구 용두산길 6 1층,(지번) 대청동2가 28-7,070-4829-0216,https://www.instagram.com/capaci_kim,접속불가
노스텔지어가죽공방 ,0.0,0건,리뷰 0,전북 전주시 덕진구 동부대로 1073-14 1층,(지번) 송천동2가 166-11,070-4829-0216,,
가죽공방 메다 ,5.0,1건,리뷰 0,경기 수원시 팔달구 수원천로255번길 6 영동시장 2층 28청춘청년몰 2208호,(지번) 영동 8,연락처 없음,http://www.instagram.com/maeda_leather,접속불가
앤가죽공방 ,0.0,0건,리뷰 0,충북 충주시 염밭로 84,(지번) 교현동 1069,연락처 없음,,
호피사랑가죽공방 ,0.0,0건,리뷰 0,부산 사하구 장림시장5길 226 1층,(지번) 장림동 615-203,010-3982-8200,http://blog.naver.com/82hopi,200
설렘(가죽 뜨개공방) ,0.0,0건,리뷰 0,부산 기장군 정관읍 정관로 350,(지번) 정관읍 모전리 730,051-728-1304,,
담지가죽공방 ,0.0,0건,리뷰 0,경기 의정부시 의정로 96 401호,(지번) 가능동 830-9,010-2094-4338,https://blog.naver.com/damnji/,200
진솔가죽공방 ,0.0,0건,리뷰 1,인천 남동구 문화서로3번길 29,(지번) 구월동 1394-1,연락처 없음,,
가죽공방레더락 ,5.0,1건,리뷰 0,경기 부천시 신흥로238번길 25 1층,(지번) 중동 1066-8,032-323-5079,http://ssdude.blog.me/,200
호즈가죽공방 ,0.0,0건,리뷰 0,서울 도봉구 도봉로143길 30,(지번) 방학동 675-33,연락처 없음,https://www.instagram.com/hoz_leather/,접속불가
가죽공방 크리 ,0.0,0건,리뷰 0,서울 광진구 천호대로127길 42-2 101호,(지번) 중곡동 112-1,010-7928-6704,http://blog.naver.com/sayshane,200
강찬가죽공방 ,0.0,0건,리뷰 0,경기 구리시 안골로7번길 37,(지번) 교문동 729-1,010-6818-8970,,
살곰살곰가죽공방 ,0.0,0건,리뷰 1,울산 동구 화진8길 34 2층,(지번) 화정동 652-34,연락처 없음,https://www.instagram.com/sgsg_leather/,접속불가
뚝딱가죽공방 ,5.0,1건,리뷰 0,광주 북구 일곡마을로 10,(지번) 일곡동 819-3,062-418-1286,,
수제가죽공방 ,0.0,0건,리뷰 0,서울 송파구 성내천로8길 7,(지번) 오금동 62-6,연락처 없음,,
하빌리스가죽공방 ,4.2,5건,리뷰 4,경기 안산시 상록구 성안길 69 1층,(지번) 사동 1563-10,연락처 없음,https://blog.naver.com/kahyun71/,200
루트가죽공방 ,0.0,0건,리뷰 0,서울 강북구 한천로155길 43 수유벽산아파트 A상가 406호,(지번) 수유동 205,연락처 없음,http://leatherluth.modoo.at/,200
가죽공방 ,0.0,0건,리뷰 0,서울 강서구 강서로33길 106,(지번) 화곡동 1043-32,010-7557-9052,,
가죽공방하루 ,0.0,0건,리뷰 0,전북 전주시 완산구 모악로 4683,(지번) 평화동2가 312-6,010-9448-2873,,
아브리오 가죽공방 ,0.0,0건,리뷰 1,서울 성북구 종암로36길 41-13 2층,(지번) 하월곡동 90-1503,010-9927-5141,http://abrio.co.kr/,200
강가죽공방 ,0.0,0건,리뷰 0,경기 수원시 장안구 수성로245번길 18,(지번) 정자동 74-19,연락처 없음,https://www.instagram.com/kanggajuk/,접속불가
수수한가죽공방 ,0.0,0건,리뷰 0,경남 양산시 양주1길 2,(지번) 중부동 665,055-4165-1708,,
빈코가죽공방 ,0.0,0건,리뷰 0,전남 순천시 팔마1길 9-56,(지번) 연향동 1663-8,연락처 없음,,
알렉스가죽공방 ,5.0,1건,리뷰 0,서울 강남구 봉은사로29길 6 2층 201호,(지번) 논현동 235,0507-1406-6978,http://blog.naver.com/alx_leather,200
업가죽공방 ,0.0,0건,리뷰 0,부산 사하구 윤공단로17번길 122,(지번) 다대동 949-2,010-4556-1327,,
맹가미가죽공방 ,5.0,4건,리뷰 0,전북 전주시 완산구 기린대로 84,(지번) 풍남동3가 26-23,010-4556-1327,https://www.instagram.com/maengami_jeonju/,접속불가
사랑채가죽공방 ,0.0,0건,리뷰 0,부산 금정구 서금로 83-2,(지번) 금사동 525,010-2667-2326,,
하토르 가죽공방 ,0.0,0건,리뷰 1,경기 하남시 미사강변서로 16 F226호,(지번) 풍산동 490-2,010-2009-3567,http://hathorcraft.blog.me/,200
노아가죽공방디자인스튜디오 ,0.0,0건,리뷰 0,경기 화성시 여울로4길 20,(지번) 능동 1091-7,010-9019-7847,,
가죽공방운조 ,0.0,0건,리뷰 1,서울 마포구 월드컵북로1길 56 장안빌딩 3층,(지번) 서교동 375-15,010-2062-9954,http://www.wunjo.co.kr/,200
제이앤제이(J&J)가죽공방 ,0.0,0건,리뷰 0,전북 전주시 완산구 감나무4길 10,(지번) 서신동 782-5,연락처 없음,,
케이디가죽공방 ,0.0,0건,리뷰 1,서울 마포구 월드컵로1길 28 1층,(지번) 합정동 387-22,연락처 없음,http://keidstudio.com/,200
미루가죽공방 ,0.0,0건,리뷰 0,경기 고양시 일산동구 강송로88번길 29-2 1층,(지번) 백석동 1163-12,연락처 없음,http://meeruleather.modoo.at/,200
온미 가죽공방 ,0.0,0건,리뷰 0,서울 광진구 능동로15길 22 b동 101호,(지번) 화양동 529,연락처 없음,https://www.instagram.com/onmi_leather/,접속불가
만지작가죽공방 ,0.0,0건,리뷰 0,경기 화성시 지산1길 18-22,(지번) 영천동 688-6,070-8841-2483,http://blog.naver.com/kimmymam70/,200
그레이가죽공방 ,0.0,0건,리뷰 0,울산 남구 왕생로120번길 7 하나빌딩 3층,(지번) 달동 1319-12,연락처 없음,https://blog.naver.com/ririds/,200
맹가미가죽공방 ,0.0,0건,리뷰 0,전북 김제시 동서9길 26,(지번) 요촌동 195-1,063-547-1552,,
모리스가죽공방 ,0.0,0건,리뷰 2,경기 평택시 현촌1로 50 젤존빌딩 4층,(지번) 용이동 597-5,010-7607-2106,https://blog.naver.com/91morris/,200
아인가죽공방 ,0.0,0건,리뷰 0,울산 남구 팔등로 60 2층,(지번) 신정동 492-20,연락처 없음,http://blog.naver.com/2296058,200
컴패니언 가죽공방 ,0.0,0건,리뷰 0,대전 중구 보문로67번길 31 1층,(지번) 부사동 152-6,연락처 없음,https://instagram.com/companion_chan,접속불가
가죽공방토야 ,0.0,0건,리뷰 48,서울 금천구 디지털로9길 32 갑을그레이트밸리 B동 205호,(지번) 가산동 60-5,070-4190-8445,https://toya.modoo.at/,200
109가죽공방 ,0.0,0건,리뷰 0,서울 용산구 한강대로40가길 20,(지번) 한강로2가 62-1,070-4190-8445,http://www.109leathers.com/,200
뮤토가죽공방 ,4.2,6건,리뷰 0,서울 관악구 은천로 95 벽산블루밍아파트 상가 119호,(지번) 봉천동 1718,연락처 없음,http://blog.naver.com/bluemooks,200
페리스가죽공방 ,0.0,0건,리뷰 46,경기 남양주시 경춘로1350번길 35 리치플러스 5층 503-2호,(지번) 평내동 140,031-510-7570,http://blog.naver.com/pelliss,200
라니가죽공방 ,0.0,0건,리뷰 0,울산 남구 수암로116번길 59-21,(지번) 야음동 763-2,연락처 없음,,
휘스가죽공방 ,5.0,1건,리뷰 0,전남 나주시 배멧3길 19-7,(지번) 빛가람동 348-20,연락처 없음,,
가란드가죽공방 ,0.0,0건,리뷰 8,부산 해운대구 해운대로 814 세종월드프라자 A동 302호,(지번) 좌동 1479-3,연락처 없음,https://blog.naver.com/gnworks/,200
토브가죽공방 ,5.0,1건,리뷰 1,서울 동작구 장승배기로 64,(지번) 상도동 181-2,010-9155-3366,http://blog.naver.com/15vision,200
종로가죽공방 ,5.0,1건,리뷰 0,서울 종로구 사직로8길 24 경희궁의 아침 2단지 418호,(지번) 내수동 71,070-4025-1789,http://www.jongrogb.com/,200
라온아토가죽공방 ,0.0,0건,리뷰 2,울산 남구 돋질로239번길 16 2층,(지번) 삼산동 1511-6,010-5352-3422,https://www.instagram.com/raon_ato_atelier/,접속불가
가죽공방그냥 ,0.0,0건,리뷰 1,경기 수원시 팔달구 중부대로 215 선경아파트 101동 지하,(지번) 우만동 98,010-3211-3513,,
레더79가죽공방 ,0.0,0건,리뷰 0,서울 성동구 마장로 137 텐즈힐상가 402동 214호,(지번) 상왕십리동 811,010-7145-5315,https://blog.naver.com/jssweet79,200
너드 가죽공방 ,0.0,0건,리뷰 0,경기 화성시 꽃내음1길 25 3층,(지번) 새솔동 77-10,010-7145-5315,,
레더가든가죽공방 ,0.0,0건,리뷰 0,충북 충주시 중앙탑면 원앙길 17 1층,(지번) 중앙탑면 용전리 816,연락처 없음,https://leathergardens.modoo.at/,200
필레더가죽공방 ,0.0,0건,리뷰 1,서울 구로구 고척로21가길 2 2층,(지번) 개봉동 97-6,연락처 없음,http://www.philleather.com/,200
보르가죽공방 ,0.0,0건,리뷰 0,울산 중구 당산1안길 28 1층,(지번) 우정동 276-52,연락처 없음,http://blog.naver.com/green70mi,200
호야가죽공방 ,0.0,0건,리뷰 0,전북 전주시 덕진구 견훤로 247,(지번) 인후동1가 448-36,연락처 없음,,
메리J가죽공방 ,0.0,0건,리뷰 0,경기 김포시 김포한강11로140번길 67,(지번) 운양동 1409-14,연락처 없음,,
미나미가죽공방 ,0.0,0건,리뷰 0,경기 고양시 덕양구 무원로 2,(지번) 행신동 706,연락처 없음,,
훈민정음가죽공방 ,0.0,0건,리뷰 0,서울 강북구 4.19로 20,(지번) 수유동 279-237,연락처 없음,,
라피네가죽공방 ,0.0,0건,리뷰 2,경기 의정부시 시민로 137 2층,(지번) 의정부동 172-21,010-9213-9106,http://raffineleather.modoo.at/,200
까사가죽공방 ,0.0,0건,리뷰 0,인천 남동구 담방로47번길 14-11,(지번) 만수동 1021-5,연락처 없음,,
레블릭가죽공방 ,0.0,0건,리뷰 7,경기 성남시 분당구 내정로119번길 35 지하 1층,(지번) 정자동 36-1,연락처 없음,http://blog.naver.com/leblic,200
예랑가죽공방 ,0.0,0건,리뷰 0,충북 청주시 청원구 상당로 314 한국공예관 공방 6호,(지번) 내덕동 201-31,연락처 없음,,
렉시피온가죽공방 ,0.0,0건,리뷰 0,울산 남구 월평로135번길 7,(지번) 신정동 236-134,연락처 없음,,
세컨홉가죽공방 ,0.0,0건,리뷰 2,서울 서초구 양재천로19길 11-3,(지번) 양재동 123-4,02-6080-7571,,
체히 가죽공방 ,0.0,0건,리뷰 0,서울 동작구 동작대로15길 87,(지번) 사당동 1014,연락처 없음,,
제이민가죽공방 ,0.0,0건,리뷰 1,전북 전주시 완산구 서곡1길 1-6 1층,(지번) 효자동3가 1457-4,010-3428-3333,https://www.instagram.com/hi_jmin_/,접속불가
세피로트가죽공방 ,0.0,0건,리뷰 39,인천 남동구 논고개로 71 가산타워 11층 1102-02호,(지번) 논현동 746-6,010-3428-3333,http://blog.naver.com/by_sephiroth,200
로뎀나무가죽공방 ,0.0,0건,리뷰 0,인천 계양구 계양대로205번길 3,(지번) 계산동 942-1,010-7163-0998,https://instagram.com/rodem_namu_leather,접속불가
순가죽공방 ,0.0,0건,리뷰 0,경기 화성시 효행로 1076-8,(지번) 병점동 845-2,연락처 없음,http://soonleather.ewebstory.com/,200
루시디안 가죽공방 ,0.0,0건,리뷰 13,서울 강서구 공항대로 237 에이스타워마곡 2층 215호,(지번) 마곡동 727-1166,연락처 없음,http://lucidian.co.kr/,200
유브로가죽공방 ,0.0,0건,리뷰 0,서울 강북구 도봉로45길 27 1층,(지번) 미아동 309-20,연락처 없음,https://www.instagram.com/ubro_leather/,접속불가
스티치엔 가죽공방 ,0.0,0건,리뷰 10,경기 군포시 산본천로 198 2층,(지번) 산본동 236-6,031-394-6620,https://stitchen.modoo.at/,접속불가
가죽공방 모이공작소 ,0.0,0건,리뷰 0,경기 성남시 분당구 판교역로 240 삼환하이펙스 A동 128호,(지번) 삼평동 678,010-3219-7084,https://www.instagram.com/crafts.moe/,접속불가
재미난가죽공방 ,0.0,0건,리뷰 2,인천 중구 제물량로 252-2,(지번) 선린동 27-5,연락처 없음,http://blog.naver.com/hohoinsuk,200
가죽나무공방 ,0.0,0건,리뷰 0,경기 성남시 분당구 정자로 78 5층,(지번) 정자동 126-1,031-712-8665,,
가죽공방블로꼬 ,0.0,0건,리뷰 0,서울 성북구 동소문로 66 명인빌딩 4층,(지번) 동소문동3가 79,031-712-8665,http://blog.naver.com/bloccostudio,200
모아레더가죽공방 ,0.0,0건,리뷰 0,충북 청주시 흥덕구 강내면 탑연월곡길 73,(지번) 강내면 월곡리 228-16,010-9196-6737,,
가죽공방무이 ,0.0,0건,리뷰 0,경기 수원시 영통구 대학1로8번길 14,(지번) 이의동 1277-3,연락처 없음,,
가죽공방하 ,0.0,0건,리뷰 3,서울 금천구 시흥대로 291 금천롯데캐슬골드파크3차 상가310동 203호,(지번) 독산동 1155,연락처 없음,https://www.instagram.com/by_hamade/,접속불가
제이가죽공방 ,0.0,0건,리뷰 0,충북 청주시 흥덕구 오송읍 오송2길 25,(지번) 오송읍 오송리 60-39,연락처 없음,,
가죽공방 워니레더 ,0.0,0건,리뷰 1,서울 영등포구 국회대로29길 3 현대2차아파트상가 지하 1층 워니레더,(지번) 당산동4가 92,연락처 없음,https://blog.naver.com/kimsc0803,200
토글가죽공방 ,0.0,0건,리뷰 0,경기 안양시 동안구 시민대로 180 롯데백화점 평촌점 3층,(지번) 호계동 1039,031-8086-9339,http://blog.naver.com/toggleleathercraft/221658634230,200
아이브가죽공방 ,5.0,1건,리뷰 0,서울 용산구 신흥로 97-4,(지번) 용산동2가 1-506,010-4040-8834,http://ive1972.com/,접속불가
