공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지,홈페이지체크
도자기와나무 가구공방 ,0.0,0건,리뷰 0,전북 완주군 구이면 구이로 1435-9,(지번) 구이면 항가리 246,연락처 없음,,
우진가구공방 ,0.0,0건,리뷰 0,경기 용인시 처인구 중부대로1762번길 64-38,(지번) 마평동 162-1,0507-1386-1989,https://blog.naver.com/vanesia,200
가구공방꿈틀 ,0.0,0건,리뷰 0,경기 의정부시 둔야로45번길 50 1층,(지번) 의정부동 478-21,010-2612-9320,,
힘멜바움 원목가구공방 ,0.0,0건,리뷰 0,제주특별자치도 제주시 오등14길 8 1층,(지번) 오등동 621-3,연락처 없음,,
목해당 가구공방 ,0.0,0건,리뷰 0,경북 영주시 봉화로 49-6,(지번) 상망동 202,연락처 없음,,
부산가구공방 가구,5.0,3건,리뷰 0,부산 사상구 사상로342번길 9,(지번) 덕포동 388-11,051-305-7945,http://www.gagumi.com/,200
팔월가구공방 가구판매,0.0,0건,리뷰 3,부산 동래구 충렬대로202번길 37,(지번) 수안동 2,010-9184-1673,,
Funny DIY 가구공방 가구판매,0.0,2건,리뷰 0,부산 사상구 백양대로 715,(지번) 덕포동 788-3,070-8688-5799,http://www.yoohanna.com/,200
클라우드가구공방 가구,0.0,0건,리뷰 0,경남 양산시 옥곡6길 5,(지번) 남부동 472-1,070-8688-5799,http://blog.naver.com/clawoodfun,200
원목가구공방 가구,0.0,0건,리뷰 0,경기 김포시 풍무로 206,(지번) 풍무동 24-4,070-7366-5777,,
제주가구공방 가구,0.0,0건,리뷰 0,제주특별자치도 제주시 동화로 76,(지번) 화북이동 829-1,064-702-0999,http://www.nangsarang.com/,200
그루나인 가구공방 가구,5.0,1건,리뷰 0,경기 용인시 기흥구 한일로9번길 3 B01호,(지번) 공세동 388-17,연락처 없음,http://blog.naver.com/grunine,200
수향편백가구공방 가구판매,5.0,1건,리뷰 1,경남 창원시 마산회원구 내서읍 광려로 360,(지번) 내서읍 신감리 935-10,055-243-3711,http://suhyang.mspage.kr/,200
원목가구공방 다박솔 가구,0.0,0건,리뷰 0,부산 기장군 장안읍 좌천로 19,(지번) 장안읍 좌천리 123-4,055-243-3711,http://cafe.daum.net/dabaksol,200
예린가구공방 가구,0.0,0건,리뷰 0,경기 고양시 덕양구 대덕로101번길 16 1동,(지번) 현천동 106,연락처 없음,http://www.yelynwoodesign.com/,접속불가
kum가구공방 가구,5.0,1건,리뷰 0,부산 부산진구 중앙번영로20번길 15,(지번) 범천동 842-38,연락처 없음,http://blog.naver.com/kumgagu,200
우목수가구공방 가구판매,0.0,0건,리뷰 0,경기 파주시 탄현면 새오리로 281-20,(지번) 탄현면 대동리 46-3,연락처 없음,,
나무이야기 DIY가구공방 가구판매,0.0,0건,리뷰 0,전남 순천시 해룡면 상성길 134,(지번) 해룡면 남가리 661-2,061-724-0304,,
가구공방디딤 가구판매,0.0,0건,리뷰 0,경남 거창군 거창읍 아림로2길 47,(지번) 거창읍 중앙리 321-2,055-943-8935,http://cafe.daum.net/_c21_/home?grpid=1L9RN,200
언플러그드 가구공방 가구,0.0,0건,리뷰 0,서울 강북구 월계로37길 143 지하1층,(지번) 번동 269-3,010-2804-7714,http://unplugged.co.kr/,200
꿈꾸는나무가구공방 가구,0.0,0건,리뷰 0,강원 원주시 봉화로 150-2,(지번) 단계동 505-6,010-2312-4737,http://lsh6942.blog.me/220611868933,200
김목수가구공방 가구판매,0.0,0건,리뷰 0,광주 남구 대남대로 37,(지번) 방림동 135-4,062-672-0882,,
두가구공방 가구,0.0,0건,리뷰 0,부산 연제구 고분로 260,(지번) 연산동 137,051-753-4620,http://blog.naver.com/key5010,200
우드랜드가구공방 가구,0.0,0건,리뷰 9,전북 전주시 덕진구 초포다리로 19,(지번) 호성동1가 708-2,연락처 없음,https://blog.naver.com/wlgnsl3218,200
"한국DIY가구공방협회 단체,협회",0.0,0건,리뷰 1,세종특별자치시 연서면 도신고복로 443,(지번) 연서면 쌍류리 273-2,044-862-6576,http://www.koreadiy.org/,200
향기나무가구공방 가구판매,0.0,0건,리뷰 0,서울 강서구 까치산로 161,(지번) 화곡동 1121-20,02-2605-4124,,
원목가구공방 뚝딱 가구,0.0,0건,리뷰 0,강원 춘천시 후석로440번길 13,(지번) 후평동 257-29,010-5802-4420,http://tookddak.com/,200
우디원목가구공방 가구,0.0,0건,리뷰 0,전남 광양시 광양읍 서평10길 51,(지번) 광양읍 구산리 765-17,010-4354-0601,https://smartstore.naver.com/woo-d,200
가구공방 가구판매,0.0,0건,리뷰 0,경기 수원시 영통구 센트럴파크로128번길 72,(지번) 이의동 1298,070-4133-2210,,
이쁜가구즐거운공방 가구,5.0,1건,리뷰 0,충북 충주시 남산1길 29-12,(지번) 교현동 27-6,043-844-8002,http://cafe.naver.com/ilovetree/,200
유명가구공방 인테리어,0.0,0건,리뷰 0,광주 북구 설죽로 143,(지번) 신안동 313-1,062-515-6636,,
미스터캐빈가구공방 가구판매,0.0,0건,리뷰 0,부산 사하구 괴정로 239,(지번) 괴정동 546-51,051-203-9673,http://www.mrcabin.co.kr/,200
가구짓는공방 가구,0.0,0건,리뷰 0,서울 중랑구 면목로21길 19 지하1층,(지번) 면목동 399-1,연락처 없음,http://www.makefurniture.kr/,200
조형물가구공방 인테리어장식판매,0.0,0건,리뷰 0,부산 수영구 감포로 12,(지번) 민락동 156-2,연락처 없음,,
수제가구공방 YKhands 가구,0.0,0건,리뷰 0,서울 강남구 역삼로64길 9 대성빌딩 지하1층,(지번) 대치동 919,연락처 없음,http://www.ykhands.co.kr/,접속불가
트로이가구공방 가구판매,3.0,1건,리뷰 23,강원 원주시 행구로 481,(지번) 행구동 200-22,033-742-3697,,
이쁜가구즐거운공방 가구,0.0,0건,리뷰 0,충북 제천시 의림대로 411,(지번) 모산동 411-15,043-645-8445,,
인트로엠 가구공방 가구,0.0,0건,리뷰 0,서울 도봉구 노해로60길 84,(지번) 쌍문3동 98-24,010-3299-6315,http://blog.naver.com/intromstory,200
예향수제가구공방 가구판매,0.0,0건,리뷰 0,광주 광산구 북문대로 344,(지번) 신창동 1089-27,062-954-2516,http://www.yehyang.co.kr/,200
태인가구공방 가구,0.0,0건,리뷰 0,부산 금정구 공단로8번길 11,(지번) 금사동 106-1,051-531-0201,,
용일이네가구공방 가구판매,0.0,0건,리뷰 0,광주 북구 서암대로 18,(지번) 운암동 393-25,062-525-2956,,
손수가구공방 가구,0.0,0건,리뷰 0,서울 동대문구 홍릉로15길 16 1층,(지번) 제기동 287-15,02-967-7239,http://www.sonsugagu.com/,200
자연미가구화훼공방 가구판매,0.0,0건,리뷰 0,충남 예산군 오가면 충서로 328,(지번) 오가면 월곡리 193-12,041-335-6846,,
젠우드 IDY가구공방 가구,0.0,0건,리뷰 0,충남 홍성군 홍북읍 도청대로 307-7,(지번) 홍북읍 상하리 19-1,041-632-3045,,
행복드림가구공방 인테리어,0.0,0건,리뷰 0,충남 예산군 신암면 두곡3길 54-14,(지번) 신암면 두곡리 205-2,010-3221-3217,,
이쁜가구즐거운공방 가구,0.0,0건,리뷰 0,경북 경주시 초당길5번길 31-1,(지번) 동천동 910-15,054-745-6479,,
짜임가구공방 가구,0.0,0건,리뷰 0,경기 양주시 장흥면 북한산로801번길 24,(지번) 장흥면 교현리 418-14,010-9883-3696,http://www.zzaim.kr/,200
아키믹하우스 가구공방 가구,0.0,0건,리뷰 0,충남 공주시 탄천면 장마루로 937-1,(지번) 탄천면 장선리 711-4,010-5621-9196,http://archimic-house.com/,접속불가
도담가구공방 가구,0.0,0건,리뷰 0,충남 당진시 무수동로 133 1층2호,(지번) 읍내동 1223,연락처 없음,,
"틀가구공방 서비스,산업",5.0,1건,리뷰 0,제주특별자치도 제주시 명림로 10-4,(지번) 봉개동 603-3,연락처 없음,,
"그루가구공방 문화,예술",0.0,0건,리뷰 0,경기 수원시 영통구 센트럴파크로127번길 40,(지번) 이의동 1306-13,031-214-4766,,
헤브론 가구공방 가구,0.0,0건,리뷰 0,부산 해운대구 송정중앙로5번길 27,(지번) 송정동 130-12,연락처 없음,http://hebronkorea.kr/,접속불가
두손가구공방 가구판매,0.0,0건,리뷰 0,충남 아산시 배방읍 북수로 44,(지번) 배방읍 북수리 1052,연락처 없음,http://cafe.naver.com/diytwohand/,200
채움가구공방 가구판매,0.0,0건,리뷰 0,경기 수원시 팔달구 장다리로306번길 45,(지번) 인계동 303-3,연락처 없음,,
비움가구공방 가구판매,0.0,0건,리뷰 1,경기 양주시 삼숭로38번길 25-25,(지번) 삼숭동 197-1,연락처 없음,http://biumfurniture.com/,200
가구공방 망치 가구판매,0.0,0건,리뷰 0,서울 성북구 보문로29길 78 1층,(지번) 삼선동3가 42-12,연락처 없음,http://www.diymangchi.com/,200
조은가구공방 가구판매,5.0,1건,리뷰 0,인천 서구 봉수대로 1456,(지번) 오류동 55-10,032-262-0436,,
퍼니DIY가구공방 가구,0.0,0건,리뷰 0,광주 북구 일곡로41번길 2,(지번) 일곡동 884-2,연락처 없음,,
판야가구공방 가구판매,0.0,0건,리뷰 0,서울 강서구 곰달래로45길 2,(지번) 화곡동 833,연락처 없음,,
나무사랑가구공방 가구,0.0,0건,리뷰 0,충남 서천군 마서면 장산로855번길 3,(지번) 마서면 도삼리 73-4,연락처 없음,,
리퍼니처가구공방 가구판매,5.0,1건,리뷰 0,광주 광산구 용아로 534-34,(지번) 장덕동 985-11,010-3645-6167,http://blog.naver.com/woodlii,200
나무기차가구공방 가구,0.0,0건,리뷰 0,경기 김포시 통진읍 동을산로 145,(지번) 통진읍 동을산리 33-4,연락처 없음,,
DIY가구공방 펀앤조이 경기용인점,0.0,0건,리뷰 0,경기 용인시 기흥구 평촌2로2번길 3-9,(지번) 동백동 622-2,031-8005-5223,,
킴스가구공방 가구판매,1.0,1건,리뷰 0,전북 완주군 용진읍 부평길 25-29,(지번) 용진읍 용흥리 620,063-271-3971,,
모리가구공방 가구,0.0,0건,리뷰 2,제주특별자치도 서귀포시 효돈순환로 7-7,(지번) 신효동 651-19,연락처 없음,https://blog.naver.com/mory_jejuisland,200
포천가구공방 가구,0.0,0건,리뷰 0,경기 포천시 소흘읍 죽엽산로 309-18,(지번) 소흘읍 고모리 549-1,연락처 없음,https://sofamake.modoo.at/,200
평안가구공방 가구,0.0,0건,리뷰 0,경기 용인시 처인구 모현읍 곡현로 436,(지번) 모현읍 매산리 545-2,031-333-2018,,
든결목공방 ,0.0,0건,리뷰 9,대구 서구 서대구로62길 85-1,(지번) 비산동 1223-1,031-333-2018,http://blog.naver.com/jung601124,200
303 하남가구단지(골드무역),0.0,0건,리뷰 0,경기 하남시 하남대로 514,(지번) 천현동 538-1,031-794-5667,,
가야공방가구 가구판매,0.0,0건,리뷰 0,대구 서구 와룡로 319,(지번) 중리동 1165-10,053-521-9057,,
고범석가구 ,0.0,0건,리뷰 0,경기 광주시 남한산성면 오전길 24-23 1층,(지번) 남한산성면 오전리 66,010-3042-9085,http://www.kobeomsuk.com/,200
행복나무공방 ,0.0,0건,리뷰 8,대전 서구 도솔로 309-2,(지번) 괴정동 95-29,010-5112-8343,,
우들리원목가구목공방 ,0.0,0건,리뷰 0,경북 청도군 이서면 대곡길 11-7,(지번) 이서면 팔조리 355-3,010-9567-1984,https://blog.naver.com/mywoodly,200
가야공방가구 가구판매,0.0,0건,리뷰 0,대구 달서구 달구벌대로 1368,(지번) 장기동 160,053-521-9057,,
CM가구 ,5.0,1건,리뷰 0,경기 남양주시 화도읍 가구단지6길 8-5,(지번) 화도읍 녹촌리 488-11,031-593-1030,,
가보당고가구 골동품,0.0,0건,리뷰 0,대구 남구 삼정2길 9,(지번) 봉덕동 1392-2,053-473-2201,,
제페토가구교실 ,0.0,0건,리뷰 0,경남 양산시 양주1길 29-1,(지번) 중부동 671-5,055-381-7425,http://www.diygeppetto.com/,200
자작나무공방 창원명곡점 ,0.0,0건,리뷰 0,경남 창원시 의창구 태복산로11번길 5-1,(지번) 도계동 891-11,연락처 없음,https://blog.naver.com/mi20210,200
강서민속가구골동품 골동품,5.0,1건,리뷰 0,부산 강서구 가락대로 1275,(지번) 봉림동 73-26,051-973-7282,,
두드림 나무공방 ,5.0,1건,리뷰 1,경기 군포시 엘에스로115번길 53 JMD빌딩 지하,(지번) 금정동 689-40,010-3130-5150,http://blog.naver.com/poleaxe,200
가구만들기나누미 ,5.0,1건,리뷰 0,전북 전주시 덕진구 송천중앙로 99,(지번) 송천동1가 387-1,063-276-8778,http://cafe.daum.net/cw8515,200
제이어스수제공방 ,0.0,0건,리뷰 18,경기 부천시 경인로 556,(지번) 괴안동 170-2,063-276-8778,https://blog.naver.com/leejus1209/,200
가구공감 ,0.0,0건,리뷰 2,서울 영등포구 여의대방로70길 7,(지번) 여의도동 53-2,010-9969-7474,,
충북DIY가구협동조합 ,5.0,1건,리뷰 3,충북 청주시 청원구 내수읍 도원세교로 191 1층,(지번) 내수읍 덕암리 347-1,043-215-2646,http://cbdiy.qrsvc.com/,200
한신공방가구 가구판매,0.0,0건,리뷰 225,경기 남양주시 화도읍 가구단지중앙길 47,(지번) 화도읍 녹촌리 269-3,031-591-5607,,
튼튼가구만들기 ,0.0,0건,리뷰 0,울산 남구 문수로 403,(지번) 신정동 1629-6,연락처 없음,,
뚝딱DIY가구 ,0.0,0건,리뷰 0,인천 남동구 인주대로681번길 4,(지번) 구월동 1220,032-666-9057,http://www.diyself.co.kr/,200
옛날가구 골동품,0.0,0건,리뷰 0,경남 양산시 상북면 양산대로 1527,(지번) 상북면 석계리 963-2,055-374-5423,,
초록향기기구공방 ,0.0,0건,리뷰 0,경기 김포시 김포대로1216번길 208-6,(지번) 걸포동 28-1,연락처 없음,,
장수목공방가구 가구,0.0,0건,리뷰 0,경남 김해시 구지로 172,(지번) 동상동 302,연락처 없음,,
우드탑가구발전소 ,0.0,0건,리뷰 0,서울 노원구 공릉로58나길 9 2층,(지번) 하계동 168-9,02-954-1475,http://woodtop.kr/,접속불가
홍익가구공예사 ,0.0,0건,리뷰 0,전북 완주군 용진읍 완주로 462-9,(지번) 용진읍 운곡리 905-2,연락처 없음,,
제페토가구교실 부천점 ,0.0,0건,리뷰 0,경기 부천시 길주로77번길 19-45 대덕디아뜨갤러리 4차 107호,(지번) 상동 530-1,연락처 없음,http://www.diyschool.co.kr/,200
가구 만드는고양이 ,0.0,0건,리뷰 0,서울 동대문구 답십리로68길 10,(지번) 장안동 387-5,연락처 없음,,
공예가구목림방 ,0.0,0건,리뷰 0,경기 화성시 향남읍 3.1만세로 1084-15,(지번) 향남읍 발안리 133-6,031-352-6424,,
옛마을고가구 골동품,0.0,0건,리뷰 0,광주 동구 중앙로 294-1,(지번) 계림동 242-20,062-228-3223,,
가구공장 ,0.0,0건,리뷰 0,인천 계양구 주부토로 385,(지번) 작전동 871-35,010-5815-7505,,
가구총각 ,0.0,0건,리뷰 0,전북 전주시 완산구 석산마을길 6,(지번) 삼천동3가 943-2,연락처 없음,https://www.instagram.com/furniture_mail/,접속불가
영창고가구밥상 ,0.0,0건,리뷰 0,경기 안산시 단원구 화랑로 107,(지번) 원곡동 846-3,031-485-4383,,
행복한가구공예 ,0.0,0건,리뷰 0,강원 원주시 원일로 36-1,(지번) 인동 222-9,010-9085-1425,,
반다지고가구 골동품,0.0,0건,리뷰 0,경기 용인시 처인구 백암면 삼백로828번길 12,(지번) 백암면 근삼리 263,031-323-3387,,
골동품 고가구삽니다 골동품,0.0,0건,리뷰 0,서울 강서구 화곡로35길 1 동진빌딩 1층,(지번) 우장산동 111-81,연락처 없음,,
"웰빙공방 주방가구,싱크대판매",0.0,0건,리뷰 0,전남 여수시 시전1길 18,(지번) 신기동 130-26,061-683-9700,,
나주편백가구 가구판매,0.0,0건,리뷰 1,전남 나주시 노안면 건재로 487,(지번) 노안면 학산리 776-3,061-334-5456,http://gagujido.com/,접속불가
저질러공방 가구,0.0,0건,리뷰 0,경기 남양주시 와부읍 수레로 75,(지번) 와부읍 덕소리 208-1,연락처 없음,,
내당공방 가구판매,0.0,0건,리뷰 0,경기 남양주시 화도읍 가구단지중앙길 32,(지번) 화도읍 녹촌리 269-39,031-594-4144,,
풍각나무망치 ,0.0,0건,리뷰 15,경북 청도군 풍각면 청려로 170-111,(지번) 풍각면 금곡리 927,054-373-8525,http://blog.naver.com/mangchi7304,200
내디내만목공학원 ,0.0,0건,리뷰 4,경기 고양시 일산동구 동국로245번길 106,(지번) 성석동 137-2,031-976-7893,http://blog.naver.com/mydiy,200
라이프우드 포천가구공방사관학교,0.0,0건,리뷰 0,경기 포천시 삼육사로 2053-6 B동,(지번) 선단동 818-12,031-542-9475,http://www.lifewood.co.kr/,200
쉼목공방 ,0.0,0건,리뷰 1,대전 동구 대전로839번길 75 2층,(지번) 중동 50-1,031-542-9475,http://blog.naver.com/bikemaker,200
나무랄데없는목공방 ,0.0,0건,리뷰 18,세종특별자치시 아름서1길 13-4 영토빌딩 6층,(지번) 아름동 1332,010-4405-4469,http://blog.naver.com/namuralde,200
황금나무 ,1.0,1건,리뷰 19,경북 구미시 고아읍 들성로9길 32-12,(지번) 고아읍 문성리 1240,054-607-1702,,
해쉬더우드 ,5.0,1건,리뷰 23,서울 용산구 후암로 38 지하1층,(지번) 후암동 244-9,054-607-1702,http://www.hashthewood.com/,200
우드메이드 ,0.0,0건,리뷰 0,울산 울주군 범서읍 대리3길 10-8 1층,(지번) 범서읍 구영리 407-4,052-248-7893,http://cafe.naver.com/diymyself,200
안나의바느질 ,0.0,0건,리뷰 1,대구 중구 큰장로 98 1층,(지번) 대신동 1033,053-254-6161,http://blog.naver.com/jj262,200
우드워크라이프 ,0.0,0건,리뷰 8,울산 울주군 두서면 상선필길 148,(지번) 두서면 인보리 994-2,연락처 없음,https://www.instagram.com/tosil_kim/,접속불가
비갠후 목공방 ,0.0,0건,리뷰 4,서울 송파구 새말로6길 16 지하 1층,(지번) 문정동 77-9,02-521-7818,http://beganhoo.com/,접속불가
레아DIY목공방 ,5.0,3건,리뷰 0,부산 부산진구 전포대로210번길 38,(지번) 전포동 334-40,010-5556-8871,http://blog.naver.com/lea-diy,200
빈체레목공방 ,0.0,0건,리뷰 3,경기 평택시 유천2길 21-6,(지번) 합정동 172,031-658-0809,,
스튜디오크랙 ,0.0,0건,리뷰 1,경기 용인시 수지구 성복2로76번길 25-13,(지번) 성복동 744-1,031-658-0809,https://www.instagram.com/studio__crack,접속불가
쓰임목공방 ,0.0,0건,리뷰 6,인천 계양구 계양대로205번길 11-10 지하 1층,(지번) 계산동 942-21,연락처 없음,https://blog.naver.com/ss_im2018/,200
윤목공방 ,0.0,0건,리뷰 9,부산 남구 수영로266번길 74 지하1층,(지번) 대연동 911-5,010-3891-9154,http://yoonswoodworkshop.com/,접속불가
련공방 ,0.0,0건,리뷰 6,부산 수영구 수미로25번길 4 1층,(지번) 망미동 265-15,연락처 없음,https://blog.naver.com/stlyeon,200
나무와자이 목공방 ,0.0,0건,리뷰 2,경기 광주시 사기막길95번길 41,(지번) 탄벌동 683-1,010-8181-6969,http://blog.naver.com/sr6970,200
이목원 ,5.0,1건,리뷰 11,서울 마포구 광성로6길 36 지층,(지번) 신수동 85-16,010-7728-6755,http://instagram.com/emokwon_studio,접속불가
나무n ,0.0,0건,리뷰 27,경기 남양주시 경강로294번길 23,(지번) 삼패동 316-4,010-3306-6785,https://blog.naver.com/ohminhwan/,200
얼웨이즈데어 ,0.0,0건,리뷰 6,경기 성남시 분당구 미금로 43 정운빌딩 지하1층,(지번) 구미동 204-1,010-6382-5427,http://blog.naver.com/alwaysthere17,200
조용한작업실 ,0.0,0건,리뷰 0,경기 파주시 송학1길 88,(지번) 야당동 192-22,연락처 없음,https://blog.naver.com/bhland0717,200
나무수공방 ,0.0,0건,리뷰 3,경기 부천시 상일로145번길 34,(지번) 상동 424-10,070-8773-2963,https://namusoo.modoo.at/,200
플롬 ,0.0,0건,리뷰 2,서울 송파구 송파대로37길 108,(지번) 석촌동 240-16,연락처 없음,http://mythkim.com/,200
모르공방 ,0.0,0건,리뷰 2,인천 남동구 백범로297번길 18 모던하우스 1층 101호,(지번) 간석동 24-2,연락처 없음,https://www.instagram.com/mo.re_woodstudio,접속불가
한길공예 ,0.0,0건,리뷰 1,부산 기장군 철마면 철마로 791,(지번) 철마면 구칠리 79-4,051-722-4940,http://blog.naver.com/oneway_wood,200
원더월우드 ,0.0,0건,리뷰 2,부산 사상구 새벽시장로56번길 40,(지번) 감전동 586-16,연락처 없음,,
이레보물찾기 골동품,0.0,0건,리뷰 0,서울 강동구 상암로47길 53,(지번) 명일동 334-15,연락처 없음,,
방연당 ,0.0,0건,리뷰 8,경기 수원시 영통구 센트럴파크로128번길 16,(지번) 이의동 1296-11,031-216-6521,https://blog.naver.com/bangyeondang,200
소느루 ,0.0,0건,리뷰 0,경기 시흥시 죽율로 111-19,(지번) 죽율동 37-1,연락처 없음,,
콜로디우드스튜디오 ,0.0,0건,리뷰 4,강원 강릉시 성덕포남로152번길 14,(지번) 포남동 1278-131,연락처 없음,,
빈아가구공방 ,0.0,0건,리뷰 1,경기 화성시 남여울1길 26-4,(지번) 능동 1168-3,010-3701-1895,http://blog.naver.com/sdop4231,200
청주목공방 나무미소 가구,0.0,0건,리뷰 0,충북 청주시 흥덕구 진재로55번길 31-4,(지번) 복대1동 2500,043-239-7701,http://cafe.naver.com/namumiso,200
트리앤 가구,0.0,0건,리뷰 0,광주 서구 풍암신흥로 1,(지번) 풍암동 888-4,연락처 없음,http://blog.naver.com/hd1402,200
쟁이 가구판매,0.0,0건,리뷰 0,경북 안동시 전거리3길 2,(지번) 용상동 1590-9,054-821-0097,,
김영환가구조형소 가구,0.0,0건,리뷰 0,경기 수원시 영통구 청명남로 52,(지번) 영통동 1038-2,031-206-7710,https://blog.naver.com/kim_younghwan,200
