공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
멜팅포인트,5.0,1건,리뷰 55,대구 중구 국채보상로 627 1층,(지번) 공평동 90-2,연락처 없음,http://www.instagram.com/melting_ham
상,0.0,0건,리뷰 0,대구 중구 중앙대로 292,(지번) 남산1동 710-2,053-424-5940,
모든액자,0.0,0건,리뷰 0,대구 달서구 이곡서로 35 지하1층,(지번) 이곡2동 1212,053-593-5990,
라붐,0.0,0건,리뷰 5,대구 남구 관문시장4길 62,(지번) 대명동 1173-2,연락처 없음,https://www.instagram.com/la_baume/
앤플리아,0.0,0건,리뷰 17,대구 달서구 진천로18길 40 1층,(지번) 진천동 561-63,070-8196-6568,https://blog.naver.com/annflia
황실십자수 대명점,5.0,2건,리뷰 0,대구 남구 두류공원로 86,(지번) 대명4동 3044-94,053-656-1151,
마루아,5.0,1건,리뷰 32,서울 종로구 인사동길 35-4 신관 3층,(지번) 관훈동 192-15,02-2223-2533,http://blog.naver.com/maruinsadong
그림안에액자,0.0,0건,리뷰 0,대구 중구 봉산문화길 94,(지번) 봉산동 132-9,053-422-1993,
황실 생활자수&십자수,0.0,0건,리뷰 0,대구 달서구 당산로 155,(지번) 감삼동 109-8,053-564-0877,
멜로우포터리,3.7,3건,리뷰 16,대구 중구 교동2길 37-13 2층,(지번) 완전동 5-41,010-7618-3393,https://www.instagram.com/mellow_pottery
은노리,0.0,0건,리뷰 6,대구 중구 동성로2길 12-17 2층,(지번) 봉산동 23-6,연락처 없음,https://blog.naver.com/eunnori21
호,0.0,0건,리뷰 0,대구 남구 계명중앙1길 28,(지번) 대명3동 2132-5,053-622-3749,
바늘이야기 연희직영점,5.0,1건,리뷰 8,서울 서대문구 연희로11가길 15 1층,(지번) 연희동 130-8,053-622-3749,http://www.banul.co.kr/
오월공방,4.0,1건,리뷰 6,대구 중구 봉산문화길 38 2층,(지번) 봉산동 223-17,010-3083-0032,https://www.instagram.com/owol_daegu/
갤러리,0.0,0건,리뷰 4,대구 중구 이천로 206,(지번) 대봉동 722-3,010-3083-0032,https://www.instagram.com/cnk_gallery/
대,0.0,0건,리뷰 0,대구 남구 명덕로36길 32,(지번) 대명2동 1810-10,053-625-7775,
메이크어포터리,0.0,0건,리뷰 18,대구 중구 국채보상로150길 76-12,(지번) 삼덕동3가 169-9,연락처 없음,https://www.instagram.com/make.a.pottery_official
갤러리,5.0,1건,리뷰 1,서울 종로구 팔판길 12,(지번) 팔판동 88,02-737-2785,https://blog.naver.com/gallerymhk
윤서경캘리그라피,5.0,1건,리뷰 4,대구 남구 중앙대로 244 3층,(지번) 대명동 2005-13,010-5333-0670,
솔도예공방,4.0,2건,리뷰 17,대구 중구 국채보상로140길 17-8 1층,(지번) 동인동4가 210-2,연락처 없음,https://www.instagram.com/sol_ceramic/
갤,5.0,1건,리뷰 5,서울 강남구 압구정로71길 14,(지번) 청담동 101-5,02-514-3439,
디자인틀,5.0,1건,리뷰 53,대구 남구 대명로20길 55 1층,(지번) 대명동 988-3,010-3853-8321,https://blog.naver.com/design_tl
서,5.0,1건,리뷰 0,부산 부산진구 중앙대로 887,(지번) 양정동 402-19,051-851-2503,
아가쏘잉,0.0,0건,리뷰 0,대구 달서구 월배로14길 43,(지번) 진천동 628-2,053-633-7975,
대구공예학원,5.0,1건,리뷰 5,대구 북구 고성북로 21 2층,(지번) 고성동3가 102-7,053-351-8514,https://www.instagram.com/daegu_dha/
우손 ,0.0,0건,리뷰 8,대구 중구 봉산문화길 72,(지번) 봉산동 134-12,053-427-7737,
향기나는공방,0.0,0건,리뷰 1,대구 달서구 성서동로 355-20,(지번) 이곡동 1300-1,연락처 없음,
갤러,0.0,0건,리뷰 0,대구 중구 대봉로 200-25,(지번) 대봉동 130-5,053-422-1628,http://www.galleryshilla.com/
멜리멜로,0.0,0건,리뷰 5,대구 중구 남산로4길 132,(지번) 남산동 232-15,연락처 없음,https://instagram.com/melimelo_ceramic
목공방우드,0.0,0건,리뷰 6,대구 달서구 월배로14길 53 1층,(지번) 진천동 471-19,연락처 없음,http://blog.naver.com/woodclo0202
케이옥션,0.0,1건,리뷰 7,서울 강남구 언주로172길 23 아트타워 1층,(지번) 신사동 640-6,연락처 없음,http://www.k-auction.com/
성림뜨개방,0.0,0건,리뷰 0,대구 달서구 서당로 57,(지번) 신당동 1731,053-581-7415,
갤러리루미,0.0,0건,리뷰 19,서울 서초구 서초대로70길 6 1층,(지번) 서초동 1323-1,02-3447-5100,
리네아손뜨개한옥공방,5.0,1건,리뷰 1,대구 중구 국채보상로 492-30,(지번) 동산동 136,053-252-1541,https://blog.naver.com/lineaknitting/
도자기공방 노원,5.0,1건,리뷰 2,대구 북구 침산남로 9-3,(지번) 노원동1가 217,연락처 없음,https://blog.naver.com/noonecera
끌과망치이,0.0,0건,리뷰 2,대구 달서구 상화북로 16,(지번) 진천동 290-2,연락처 없음,http://www.gglmang.co.kr/
십자수 마을 내당점,0.0,0건,리뷰 0,대구 서구 달서로 34,(지번) 내당2.3동 899-23,053-551-9897,
,5.0,1건,리뷰 36,대전 중구 문화로 67-1,(지번) 유천동 285-21,연락처 없음,
리즈금속디자인,0.0,0건,리뷰 0,대구 중구 봉산문화길 10 은성빌딩 1층,(지번) 봉산동 219-6,053-252-5008,http://instagram.com/leez.metal
아뜰리에바시티,0.0,0건,리뷰 1,대구 달서구 월배로24길 94 1층,(지번) 진천동 198-3,010-2652-6705,https://blog.naver.com/danbi2721/
헤이데이지그,0.0,0건,리뷰 6,대구 중구 동덕로30길 139-15 2층,(지번) 동인동4가 528-2,010-2652-6705,https://www.instagram.com/hey_daisy_art/
갤러리케이 아트노믹스 청,5.0,1건,리뷰 5,서울 강남구 도산대로55길 16-6,(지번) 청담동 88-14,010-2652-6705,https://artnomics.co.kr/
바름공방,0.0,0건,리뷰 13,대구 중구 교동1길 22 1층,(지번) 교동 59,010-2652-6705,https://blog.naver.com/skyyks111/
케이크,0.0,0건,리뷰 0,대구 달서구 호산동로35북길 99,(지번) 호산동 371-8,연락처 없음,
이재효,5.0,1건,리뷰 13,경기 양평군 지평면 초천길 83-22,(지번) 지평면 무왕리 521,연락처 없음,http://www.leeart.name/
갤러,0.0,0건,리뷰 11,서울 강남구 언주로152길 16,(지번) 신사동 630-25,연락처 없음,http://gallery-now.com/
,4.0,8건,리뷰 13,"서울 종로구 자하문로 106 아카이브 빌딩 2층, 지하 1층",(지번) 청운동 113-3,연락처 없음,http://www.ryugaheon.com/
팔레,4.5,4건,리뷰 9,서울 종로구 자하문로10길 30,(지번) 통의동 6,02-730-7707,
선산액자,0.0,0건,리뷰 0,대구 달서구 진천로23길 17,(지번) 대천동 537,연락처 없음,
퍼퓸72,4.0,1건,리뷰 8,부산 부산진구 전포대로224번길 23,(지번) 전포동 305-21,연락처 없음,
열린기획,0.0,0건,리뷰 0,대구 달성군 다사읍 서재로 65,(지번) 다사읍 서재리 420,053-585-5817,
오네마루,5.0,3건,리뷰 29,충북 옥천군 군북면 성왕로 1873-13,(지번) 군북면 소정리 47-4,043-731-1931,http://www.onemaru.co.kr/
졸리쥬드,5.0,1건,리뷰 0,대구 남구 앞산순환로87길 31 1층,(지번) 대명동 556-6,연락처 없음,http://jolijud.com/
동양표구액자병풍,0.0,0건,리뷰 0,대구 달서구 두류동 630-115,,연락처 없음,
홍,5.0,4건,리뷰 2,부산 서구 보수대로 243,(지번) 동대신동3가 156-8,연락처 없음,http://www.e-hongik.com/
동경비즈 동성로점,0.0,0건,리뷰 0,대구 중구 동성로2길 20 1층,(지번) 삼덕동1가 12-9,070-4652-3769,http://www.tokyobeads.co.kr/
천연비누랑,0.0,0건,리뷰 0,대구 중구 관덕정길 6-3,(지번) 남산동 942-2,053-422-0628,
대,0.0,0건,리뷰 0,대구 중구 명덕로 233-1,(지번) 대봉동 710-1,053-254-3600,
초록도,0.0,0건,리뷰 17,대구 중구 동성로6길 12-3 3층,(지번) 공평동 39,연락처 없음,https://www.instagram.com/chorokdo.green_island/
민정글씨,0.0,0건,리뷰 0,대구 달서구 당산동2길 32,(지번) 성당동 702-15,연락처 없음,https://blog.naver.com/manjaku
향기공주,0.0,0건,리뷰 2,대구 서구 달서로30길 2-6,(지번) 비산동 434-566,010-9662-6807,https://blog.naver.com/hi-mom/
,"D 라붐 미술,공예",0.0,0건,리뷰 0,(지번) 비산동 434-566,010-9662-6807,https://smartstore.naver.com/labaume
유아마이러브,0.0,0건,리뷰 1,대구 남구 중앙대로30길 56-6,(지번) 봉덕동 591-44,010-9662-6807,http://www.instagram.com/yml_official
파크드림,0.0,0건,리뷰 0,대구 북구 원대로 130,(지번) 침산동 416-4,053-321-8922,
앳블룸,0.0,0건,리뷰 2,전남 여수시 중앙로 43 중앙시장 꿈드락몰 2층,(지번) 교동 400-1,010-6456-8707,http://blog.naver.com/atbloom
스튜디오콘크리트,4.0,11건,리뷰 61,서울 용산구 한남대로 162,(지번) 한남동 795-3,010-6456-8707,http://www.studio-ccrt.com/
포스테크아이엔씨,0.0,0건,리뷰 0,대구 달성군 다사읍 강정본길 68-10,(지번) 다사읍 죽곡리 702-4,053-581-0811,
푸에스토 ,0.0,0건,리뷰 4,서울 종로구 성균관로 92,(지번) 명륜1가 31-2,053-581-0811,http://puesto.modoo.at/
논블랙 은공방,0.0,0건,리뷰 25,대구 북구 대현로9길 39 1층,(지번) 대현동 246,연락처 없음,https://www.instagram.com/noneblack_/
나린블랑,0.0,0건,리뷰 0,대구 달서구 계대동문로3안길 28,(지번) 신당동 1700,053-243-2451,
예하공방&도자기카페,5.0,1건,리뷰 0,대구 달성군 다사읍 대실역북로 80,(지번) 다사읍 매곡리 1534-12,053-583-4933,
미온,5.0,1건,리뷰 0,대구 달서구 죽전4길 99,(지번) 감삼동 32-19,0507-1309-9267,
위아트 ,0.0,0건,리뷰 20,부산 수영구 수영로 566,(지번) 광안동 507-8,0507-1309-9267,http://www.wart.or.kr/
천연비누만들기,0.0,0건,리뷰 0,대구 달서구 대명천로 84,(지번) 성당동 395-6,연락처 없음,
스마트액자,5.0,1건,리뷰 0,대구 중구 종로 69,(지번) 대안동 74-3,053-426-8806,
윙스세라믹,0.0,0건,리뷰 2,대구 달서구 조암로 9 S테라스 빌딩,(지번) 월성동 1857,053-292-5678,http://blog.naver.com/pandy104
,D 컬렉터의집더원화랑 화랑,0.0,0건,리뷰 0,(지번) 월성동 1857,053-292-5678,
슬라임쿡 오프라인샵,2.3,3건,리뷰 12,서울 마포구 와우산로29바길 11-3 1층,(지번) 서교동 332-27,053-292-5678,https://www.instagram.com/slime.cook__shop/
클레이팩토리,0.0,0건,리뷰 5,대구 중구 명륜로 147-16,(지번) 봉산동 185-10,053-632-0548,https://blog.naver.com/clayart94
갤,0.0,0건,리뷰 77,서울 종로구 인사동5길 3,(지번) 인사동 178-2,053-632-0548,http://www.gallerymeme.com/
나,0.0,0건,리뷰 0,대구 달서구 용산큰못2길 21,(지번) 용산동 921-14,연락처 없음,
무,0.0,0건,리뷰 0,대구 달서구 송현동 2028,,연락처 없음,
뜨개사랑 성서점,0.0,0건,리뷰 0,대구 달서구 선원로14길 62,(지번) 신당동 1765-6,053-591-0618,
토포,4.6,19건,리뷰 6,서울 종로구 인사동11길 6,(지번) 관훈동 184,02-734-7555,http://www.topohaus.com/
경도테크,0.0,0건,리뷰 0,대구 달서구 성서서로55길 21,(지번) 신당동 386-3,053-585-1204,
라온제이가죽공방,0.0,0건,리뷰 0,대구 달서구 달구벌대로323길 23 솔향기 1층상가,(지번) 감삼동 44-15,010-4779-7767,http://blog.naver.com/johyerim-_-
꽃영남캘리그라피,0.0,0건,리뷰 1,대구 동구 율하동로17길 47-1 애플빌라 101호,(지번) 율하동 1009,010-8277-5738,https://pf.kakao.com/_cVLwxb
수,5.0,3건,리뷰 0,경기 수원시 팔달구 매산로 131,(지번) 교동 90-7,031-243-9194,
솜씨당,4.8,9건,리뷰 13,전북 전주시 완산구 경기전길 165-5 1층,(지번) 교동 100-1,070-5022-4413,http://blog.naver.com/somcdang
위아트 강남점,0.0,0건,리뷰 13,서울 서초구 남부순환로 2311-1 덕윤빌딩 1층,(지번) 방배동 1009-3,070-5022-4413,http://www.wart.or.kr/
신영금속,0.0,0건,리뷰 0,경북 고령군 대가야읍 장기공단1길 38-23,(지번) 대가야읍 장기리 284-3,054-954-1871,
,D 헤펠레목공방 대구수목원점 목공예,5.0,1건,리뷰 0,(지번) 대가야읍 장기리 284-3,054-954-1871,http://blog.naver.com/kobo7203
알부스,5.0,1건,리뷰 17,서울 용산구 한남대로28길 26,(지번) 한남동 723-6,054-954-1871,http://albusgallery.com/
무지,0.0,0건,리뷰 0,대구 중구 중앙대로 274,(지번) 남산1동 2108-10,053-421-3343,
마리공방,0.0,0건,리뷰 8,대구 달서구 구마로52안길 86 1층,(지번) 송현동 102-15,053-421-3343,https://marigongbang.modoo.at/
도자기공방 수작,0.0,0건,리뷰 0,대구 달성군 다사읍 대실역북로2길 115 1층,(지번) 다사읍 매곡리 1530-7,053-585-9832,http://blog.naver.com/soojak79
현아트액자,0.0,0건,리뷰 0,대구 달서구 진천동 49-9,,연락처 없음,
라븐,0.0,0건,리뷰 2,대구 달서구 장기로38길 6,(지번) 감삼동 317-13,연락처 없음,https://blog.naver.com/laven_aroma
신라표구,0.0,0건,리뷰 0,대구 달서구 계대동문로9길 13-1,(지번) 신당동 1780-5,연락처 없음,
워킹하우,0.0,0건,리뷰 6,부산 수영구 좌수영로125번길 14-3,(지번) 망미동 207-22,051-759-8186,http://walkinghousenewyork.com/
든결목,0.0,0건,리뷰 8,대구 서구 서대구로62길 85-1,(지번) 비산동 1223-1,051-759-8186,http://blog.naver.com/jung601124
이레생활도자기,0.0,0건,리뷰 0,대구 달서구 새동네로 81-11,(지번) 용산동 427-4,연락처 없음,https://www.facebook.com/erae.ceramic.art/
도공소,0.0,0건,리뷰 9,대구 북구 칠곡중앙대로46길 25 현대전원맨션 상가동 105호,(지번) 태전동 532-1,연락처 없음,https://blog.naver.com/ehfthl0268/
키큰나무,5.0,1건,리뷰 0,대구 북구 학정동로 69,(지번) 학정동 948-5,010-5453-0052,http://blog.naver.com/kikennamu2
송영예의 바늘이야기 본사,4.6,5건,리뷰 12,경기 파주시 탄현면 법흥로 100-1,(지번) 탄현면 법흥리 497-114,010-5453-0052,http://www.banul.co.kr/
슬로우교동,0.0,0건,리뷰 6,대구 중구 교동4길 32,(지번) 완전동 6-12,연락처 없음,https://smartstore.naver.com/slowkyodong/
,D 아라리오갤러리 서울 화랑,4.0,2건,리뷰 18,(지번) 완전동 6-12,연락처 없음,http://www.arariogallery.com/
이도예공방,0.0,0건,리뷰 0,서울 구로구 경인로35길 39-3,(지번) 개봉동 148-12,02-2614-1416,
둔,3.4,5건,리뷰 0,대전 서구 문정로 80,(지번) 탄방동 749,042-489-0074,
세,5.0,1건,리뷰 1,서울 마포구 와우산로 125 1층,(지번) 서교동 338-52,042-489-0074,http://www.iartmarket.kr/
보보액자,5.0,1건,리뷰 0,대구 중구 태평로 243,(지번) 동인동1가 192-5,053-425-0306,http://boboframe.edenstore.co.kr/
포트링공방,0.0,0건,리뷰 63,서울 마포구 월드컵북로6길 57-6,(지번) 연남동 568-28,연락처 없음,https://www.instagram.com/pottring
갤러,3.5,2건,리뷰 27,서울 종로구 인사동길 52-1,(지번) 관훈동 100-5,연락처 없음,http://www.galleryis.com/
이길이구 ,3.7,3건,리뷰 13,서울 강남구 강남대로158길 35 1층,(지번) 신사동 519-22,연락처 없음,https://www.2gil29gallery.com/
내맘대로폰케이스 홍대점,3.7,7건,리뷰 89,서울 마포구 와우산로19길 21,(지번) 서교동 363-20,연락처 없음,http://www.nemamke.com/
비움,5.0,4건,리뷰 36,서울 중구 퇴계로36길 35,(지번) 필동2가 18-7,연락처 없음,https://www.facebook.com/beeumgallery
미,4.5,4건,리뷰 0,서울 종로구 인사동길 11-1,(지번) 인사동 147,02-735-5711,
태광스틸스크랩,0.0,0건,리뷰 0,대구 달서구 성서동로 23,(지번) 월암동 925-7,053-592-5213,
금산,2.4,14건,리뷰 3,서울 중구 소공로 46,(지번) 회현동2가 87,02-3789-6317,
예림뜨개방,0.0,0건,리뷰 0,대구 달서구 장기로 242,(지번) 감삼동 521,053-553-1603,
일인칭,0.0,0건,리뷰 1,대구 서구 서대구로42길 69,(지번) 평리동 707-30,연락처 없음,https://blog.naver.com/ilinching
,D 성지하갤러리 화방,0.0,0건,리뷰 0,(지번) 평리동 707-30,연락처 없음,
스티치앤트립,5.0,1건,리뷰 1,대구 서구 국채보상로 243 한국업사이클센터 307호,(지번) 평리동 1301,053-242-5788,https://riasee.com/
풍각나무,0.0,0건,리뷰 15,경북 청도군 풍각면 청려로 170-111,(지번) 풍각면 금곡리 927,054-373-8525,http://blog.naver.com/mangchi7304
갤,0.0,0건,리뷰 0,서울 종로구 평창길 204 지하 1층,(지번) 평창동 509-13,054-373-8525,http://www.gallery2.co.kr/
라움공방,0.0,0건,리뷰 25,경북 경주시 포석로1068번길 11,(지번) 황남동 241-9,연락처 없음,
세화정공,0.0,0건,리뷰 0,대구 달서구 성서서로47길 10-13,(지번) 신당동 1871,연락처 없음,
마이온공방,0.0,0건,리뷰 15,대구 북구 복현로 14 1층,(지번) 복현동 361-7,010-9353-1421,https://www.instagram.com/myown.art_/
아트,5.0,2건,리뷰 12,대구 수성구 공경로 70 상가 402동,(지번) 만촌동 605,053-952-5252,http://artbook.itrocks.kr/
팔라스가죽공방,0.0,0건,리뷰 0,대구 남구 중앙대로31길 23 1층,(지번) 대명동 181-20,053-952-5252,http://blog.naver.com/pallas_lh
한땀핸즈 수성구점,0.0,0건,리뷰 2,대구 수성구 동대구로45길 9,(지번) 황금동 671-7,010-5355-6230,https://blog.naver.com/dnfls231
인형마루,0.0,0건,리뷰 0,대구 달서구 새동네로13길 21,(지번) 용산동 421-26,연락처 없음,
늬앙스도자기공방,0.0,0건,리뷰 0,대구 남구 안골길 49-1,(지번) 대명동 853-12,010-2383-6126,https://blog.naver.com/intechno
,1.0,1건,리뷰 0,부산 동래구 충렬대로 249-1,(지번) 수안동 275-8,051-555-7707,http://www.sambodang.co.kr/
그림그린도자기공방,5.0,1건,리뷰 0,대구 남구 중앙대로32길 100,(지번) 봉덕1동 547-1,053-475-9898,http://cafe.daum.net/paintingdeco
나무느,0.0,0건,리뷰 9,대구 중구 봉산문화1길 30 2층,(지번) 봉산동 172-21,연락처 없음,https://blog.naver.com/kmj9618007/
,D 자연을빚는사람들 성서점 전통공예,0.0,0건,리뷰 0,(지번) 봉산동 172-21,연락처 없음,
마리아성물&,0.0,0건,리뷰 0,대구 중구 명륜로12길 35,(지번) 남산동 576-2,연락처 없음,
짙은공방,0.0,0건,리뷰 15,대전 중구 중앙로156번길 24 동화빌딩 5층,(지번) 은행동 143-3,연락처 없음,
아로마인드,5.0,1건,리뷰 42,서울 종로구 북촌로5길 19-7,(지번) 재동 32-18,02-747-7008,http://blog.naver.com/ruby100k
갤러,5.0,1건,리뷰 3,부산 해운대구 달맞이길65번길 56 CK빌딩 1층,(지번) 중동 1510-1,02-747-7008,http://www.galleryjoy.com/
거창유기공방,0.0,0건,리뷰 0,경남 거창군 남하면 가조가야로 308,(지번) 남하면 둔마리 1547-5,연락처 없음,
혜화아,0.0,0건,리뷰 6,서울 종로구 대학로 156,(지번) 혜화동 90-7,02-747-6943,
투유갤러리,5.0,2건,리뷰 28,대구 남구 명덕로 126 1층,(지번) 대명동 1890-2,053-625-4272,http://framestory.kr/
스튜디오우리방,0.0,0건,리뷰 1,대구 중구 동성로 8-13,(지번) 동성로3가 118,010-7305-6789,http://www.instagram.com/studio_ourroom
목련작업실,0.0,0건,리뷰 0,대구 달서구 야외음악당로39서길 22 상가 102호,(지번) 두류동 611-12,연락처 없음,http://www.instgram.com/qorrn2011
위아트 부천점,0.0,0건,리뷰 9,경기 부천시 소사로216번길 27,(지번) 소사본동 137-6,연락처 없음,http://www.wart.or.kr/index.html
서울여성공예센터 더아리움,3.0,6건,리뷰 14,서울 노원구 동일로174길 27,(지번) 공릉동 622,02-948-1188,http://www.seoulcraftcenter.kr/
태성로타리연마,0.0,0건,리뷰 0,대구 달서구 성서공단로51길 48,(지번) 장동 386-8,053-581-3764,
일,0.0,0건,리뷰 0,대전 중구 대종로 447,(지번) 대흥동 177,042-257-7402,http://ilsinbrush.co.kr/
초록도,0.0,0건,리뷰 11,대구 동구 동부로34길 15,(지번) 신천동 394-13,연락처 없음,https://blog.naver.com/chorok_do
,"D 렌솝 미술,공예",0.0,0건,리뷰 1,(지번) 신천동 394-13,연락처 없음,https://www.instagram.com/ren_soap23/
헤이밋공방,0.0,0건,리뷰 0,대구 남구 명덕로20길 129-1,(지번) 대명동 2143-11,0507-1310-5096,https://blog.naver.com/wwdkfma
라탄스토리설렘,0.0,0건,리뷰 0,경북 구미시 상모로10길 21-69 가온팰리스 1층,(지번) 상모동 64-7,0507-1310-5096,
전시장 색장정,3.5,2건,리뷰 17,전북 전주시 완산구 원색장길 2-15,(지번) 색장동 459-13,063-272-2460,http://blog.naver.com/euiman0916/
뚝딱마녀,0.0,0건,리뷰 0,대구 달서구 달구벌대로301길 97 1층,(지번) 용산동 954-15,070-7583-9703,
하얀소나무,0.0,0건,리뷰 1,대구 달서구 상화북로 78-5 1층,(지번) 상인동 1458-17,010-8709-8179,https://blog.naver.com/b2yanso
수목금토,3.2,10건,리뷰 47,서울 강남구 강남대로136길 63,(지번) 논현동 25-6,070-4226-7812,http://www.sumokumto.com/
나무작,0.0,0건,리뷰 0,부산 연제구 거제대로 94 대진빌딩,(지번) 거제동 721-3,051-867-1307,http://cafe.naver.com/nazak
이태활,0.0,0건,리뷰 0,대구 달서구 송현로7길 37 2층,(지번) 상인동 871-1,연락처 없음,
한국공예디자인문화진,5.0,1건,리뷰 14,서울 종로구 인사동11길 8,(지번) 관훈동 182-2,02-732-9382,http://www.kcdf.or.kr/
비누공방,0.0,0건,리뷰 0,대구 수성구 청솔로12길 16,(지번) 황금동 707-30,053-762-9893,
토모이야기,0.0,0건,리뷰 0,대구 달성군 다사읍 대실역북로4길 12 101호,(지번) 다사읍 매곡리 1527-2,070-7804-8162,http://www.tomotrade.co.kr/
바르셀로나,0.0,0건,리뷰 0,대구 달서구 서당로7길 81,(지번) 신당동 1797-5,연락처 없음,
공,5.0,1건,리뷰 0,충북 청주시 상당구 상당로 50,(지번) 문화동 108-3,043-257-0836,
우나스,3.5,2건,리뷰 5,서울 강남구 도산대로 318 SB타워 상가 C동 2층,(지번) 논현동 92-11,02-3445-0387,https://www.instagram.com/unas_seoul
,D 와인터널앞예술가게 화랑,0.0,0건,리뷰 0,(지번) 논현동 92-11,02-3445-0387,
갤러,3.0,1건,리뷰 6,서울 용산구 독서당로 116,(지번) 한남동 1-52,02-3445-0387,http://www.gallerybaton.com/
리베센트,0.0,0건,리뷰 2,대구 수성구 만촌로 162-7,(지번) 만촌동 1330-15,연락처 없음,
박씨상,3.7,3건,리뷰 10,경기 김포시 고촌읍 아라육로57번길 97,(지번) 고촌읍 전호리 733,031-8049-3263,http://www.koreasang.co.kr/
가죽공방헤비츠,5.0,1건,리뷰 5,서울 성북구 고려대로7길 46 1층,(지번) 안암동1가 105-5,031-8049-3263,http://www.hevitz.com/
궁전표구사,0.0,0건,리뷰 0,대구 달서구 월배로 29,(지번) 유천동 366-7,053-633-6150,
모모공방,0.0,0건,리뷰 1,대구 달서구 와룡로41길 20 1층,(지번) 죽전동 266-9,053-633-6150,http://blog.naver.com/momosangjeom/
제이아트리움,0.0,0건,리뷰 0,경북 경산시 백천동로 7,(지번) 백천동 571-1,연락처 없음,https://blog.naver.com/juni0714/
아크릴장이,0.0,0건,리뷰 0,대구 동구 신덕로 116-21,(지번) 신평동 169-12,053-751-3646,http://blog.daum.net/goodmanhsb
대구도예재료상사,0.0,0건,리뷰 0,대구 서구 와룡로70길 72,(지번) 중리동 1137-3,053-555-6552,
굿밤,0.0,0건,리뷰 2,대구 중구 종로 20 102호,(지번) 종로2가 76-1,053-555-6552,https://goodbomb.co.kr/
청년공방,5.0,3건,리뷰 52,서울 마포구 동교로 239 3층,(지번) 연남동 259-10,010-4622-7606,http://www.isntagram.com/aboutmod7606
다&다액자제작,0.0,0건,리뷰 0,대구 중구 관덕정길 27,(지번) 남산동 628-5,053-253-3154,
나라의캘리그라피,5.0,1건,리뷰 0,대구 달서구 명덕로 15 1층,(지번) 두류동 1192-66,070-8384-0796,http://naracnd.com/
예솜 천연염색연구,5.0,2건,리뷰 0,대구 남구 양지로 60,(지번) 대명동 3000-1,053-652-9523,
,D 리안갤러리 서울 화랑,0.0,0건,리뷰 5,(지번) 대명동 3000-1,053-652-9523,http://www.leeahngallery.com/
하나공방,0.0,0건,리뷰 1,대구 달서구 계대동문로 5,(지번) 신당동 1721-17,053-587-7008,
예쁜손뜨개방,0.0,0건,리뷰 0,대구 달성군 다사읍 달구벌대로 873,(지번) 다사읍 매곡리 1546-11,053-591-0808,
더솜,0.0,0건,리뷰 0,대구 달서구 성지로16길 24,(지번) 용산동 444-6,연락처 없음,
비오토프갤러리,0.0,0건,리뷰 0,대구 달서구 달구벌대로378길 99 1층,(지번) 두류동 1185-30,연락처 없음,https://instagram.com/biotope_gallery.official
어사당필,0.0,0건,리뷰 0,대구 중구 달구벌대로 2109-27,(지번) 덕산동 125-3,연락처 없음,
