공방이름,평균별점,별점건수,리뷰건수,주소,지번주소,연락처,홈페이지
"창작공방문예창작학원 글쓰기,",5.0,1건,리뷰 1,서울 서초구 방배중앙로21길 46,(지번) 방배동 784-17,연락처 없음,
마,1.6,7건,리뷰 46,"서울 영등포구 국회대로72길 17 KCC파크타운 201,210,211호",(지번) 여의도동 13-22,연락처 없음,
탄탄면공방 마곡,3.9,14건,리뷰 56,서울 강서구 공항대로 269-15 힐스테이트에코마곡 1층 123호,(지번) 마곡동 727-1206,연락처 없음,http://www.tantanmyun.com/
자전거공방 륜 자,4.6,10건,리뷰 1,서울 동작구 동작대로9가길 18-1 1층,(지번) 사당동 1028-25,070-4001-8607,http://blog.naver.com/r_yoongoon
엔젤공방 허브센,0.0,0건,리뷰 3,서울 강동구 성안로 108,(지번) 성내동 382-15,070-4001-8607,https://blog.naver.com/gdangelhub
면공방미카 ,2.3,3건,리뷰 22,서울 강남구 삼성로81길 23 1층,(지번) 대치동 901-65,연락처 없음,
마라공방 서울대입,2.3,6건,리뷰 51,서울 관악구 봉천로 473 2층,(지번) 봉천동 859-34,연락처 없음,
탄탄면공방 명동점,4.2,9건,리뷰 10,서울 중구 명동7길 21 명동아르누보센텀 1층 120호,(지번) 을지로2가 199-40,연락처 없음,http://www.tantanmyun.co.kr/
탄탄면공방 건대,4.6,10건,리뷰 19,서울 광진구 능동로 139 2층,(지번) 화양동 3-25,연락처 없음,http://tantanmyun.co.kr/
건축공방,5.0,1건,리뷰 0,서울 서대문구 연희로 193-8,(지번) 연희동 77-2,02-542-3947,https://www.archiworkshop.kr/
카베하네커,4.2,9건,리뷰 6,서울 강남구 언주로173길 15 1층,(지번) 신사동 619-2,02-3443-3483,
핸드메이드 가구공방 ,0.0,0건,리뷰 1,서울 마포구 망원로3길 38 1층,(지번) 망원동 432-28,02-3443-3483,http://blog.naver.com/theone18
마라공방 남대문직영,2.4,5건,리뷰 45,서울 중구 남대문로 40 1층,(지번) 회현동1가 202-24,02-3443-3483,
빚다도예공방 홍대점 도,0.0,0건,리뷰 12,서울 마포구 와우산로 32 지하 1층,(지번) 상수동 329-6,02-3443-3483,http://www.bitda.net/
사,5.0,5건,리뷰 4,서울 동대문구 회기로19길 12 지하 1층,(지번) 회기동 16-23,연락처 없음,
생활도예공방 도,0.0,0건,리뷰 0,서울 양천구 목동중앙서로6길 20-5,(지번) 목동 805-17,연락처 없음,
메,3.5,31건,리뷰 66,서울 용산구 한강대로23길 55 용산아이파크몰 7층,(지번) 한강로3가 40-999,연락처 없음,http://xn--ob0bo7wyibze.com/
상상공방,5.0,1건,리뷰 20,서울 송파구 가락로11길 17 지하1층,(지번) 석촌동 261-8,010-2559-8150,https://www.instagram.com/sangsang_ceramicstudio
면역공방 방배아트,0.0,0건,리뷰 0,서울 서초구 명달로9길 57 방배아트자이 104동 지하1층,(지번) 방배동 3278,02-3487-2428,http://myunyeokgongbang.co.kr/
증가로커,5.0,10건,리뷰 9,서울 서대문구 증가로10길 36-55,(지번) 남가좌동 325-23,02-3487-2428,http://blog.naver.com/kkwcrm
제면공방 ,3.4,10건,리뷰 12,서울 은평구 은평로8길 29 1층,(지번) 응암동 116-24,02-3487-2428,
크레아토도자기공방,0.0,0건,리뷰 1,서울 서초구 방배로16길 11-11 지하,(지번) 방배동 905-10,070-8623-2409,http://blog.naver.com/designstudiok
오붓 도예공방,0.0,0건,리뷰 6,서울 동대문구 고산자로 488 3층,(지번) 제기동 798,010-8691-7396,http://instagram.com/oboot_ceramic
그아저씨공방,5.0,1건,리뷰 22,서울 성동구 무학봉15길 27,(지번) 하왕십리동 946-5,070-4184-3461,
무진공,0.0,0건,리뷰 116,서울 광진구 자양로26길 20 1층 101호,(지번) 구의동 251-140,02-6408-9177,
구름공방 합정역점 호,4.2,6건,리뷰 15,서울 마포구 독막로3길 8 2층,(지번) 합정동 412-19,02-335-4679,http://www.gurumcraft.co.kr/
하스초콜릿 ,0.0,0건,리뷰 13,서울 강남구 삼성로103길 19,(지번) 삼성동 125-2,02-335-4679,http://haaschocolate.com/
소호공방 ,0.0,0건,리뷰 0,서울 강남구 강남대로 320 황하빌딩 10층,(지번) 역삼동 832-7,050-5555-1566,http://storefarm.naver.com/sohocafe
이비그가죽공방,5.0,2건,리뷰 104,서울 금천구 시흥대로153길 72 1층,(지번) 가산동 151-9,050-5555-1566,https://blog.naver.com/evighet8
타다도자기공방,0.0,0건,리뷰 1,서울 마포구 동교로50길 11 3층,(지번) 연남동 224-6,연락처 없음,https://www.instagram.com/tada_ceramic/
공방301 ,0.0,0건,리뷰 18,서울 종로구 창경궁로 138,(지번) 원남동 80-2,02-6052-0252,http://www.gongbang301.com/
"사진공방TOOK 사진관,",5.0,4건,리뷰 2,서울 송파구 동남로 113 3층,(지번) 가락동 107-15,02-3402-0985,http://tookphotography.com/
바비가죽공방,5.0,1건,리뷰 12,서울 은평구 연서로 98-1 경동빌딩 2층,(지번) 역촌동 8-38,02-3402-0985,http://blog.naver.com/ahhyeon_sea
장봉덕공방 제,5.0,9건,리뷰 7,서울 금천구 시흥대로50길 34,(지번) 시흥동 901-27,연락처 없음,
빛담은공방 ,5.0,3건,리뷰 3,서울 동대문구 고산자로 469 BH빌딩 2층,(지번) 제기동 944-1,연락처 없음,http://bitdameun.com/
이재철 도예공방,5.0,3건,리뷰 11,서울 광진구 능동로 151 3층,(지번) 화양동 2-44,010-5367-6433,http://www.clayjc.com/
탄탄면공방 서대문역점,4.0,2건,리뷰 7,서울 종로구 평동 233 희궁자이3단지상가동 3140호,(지번) 화양동 2-44,010-5367-6433,http://www.tantanmyun.co.kr/
,0.0,0건,리뷰 0,서울 영등포구 영등포로27길 19,(지번) 당산동1가 186-108,02-2635-3085,http://blog.naver.com/soldiy
JC스파 면역공방 목,3.0,2건,리뷰 10,서울 강남구 남부순환로 2917 청실상가 지하1층,(지번) 대치동 626,02-2635-3085,
메종드베르 스테인드글라스공방,0.0,0건,리뷰 0,서울 영등포구 도림로 437,(지번) 문래동2가 14-23,010-8706-7818,http://instagram.com/maisondeverre_s
야나뜨개공방,0.0,0건,리뷰 0,서울 중구 청계천로 204-1 태양빌딩 4층,(지번) 주교동 30,02-2279-1810,http://www.yarn-a.com/
놀터예술공방 공연,5.0,1건,리뷰 0,서울 성북구 성북로2길 21,(지번) 동소문동1가 48,연락처 없음,
,D 손탁커피공방대열 카페,5.0,2건,리뷰 4,(지번) 동소문동1가 48,연락처 없음,http://cafe.naver.com/sontagcoffee
몽실이네떡공,0.0,0건,리뷰 3,서울 양천구 월정로 163-1 3층,(지번) 신월동 114-5,010-2991-0218,https://blog.naver.com/2hs6630
하루아키 베이킹공방 제,5.0,1건,리뷰 11,서울 관악구 남부순환로 1839 4층,(지번) 봉천동 1666-41,연락처 없음,http://www.haru-aki.com/
소울공방 청담점 ,5.0,1건,리뷰 16,서울 강남구 도산대로102길 14 1층,(지번) 청담동 56-22,02-547-5698,https://soulcrafts.modoo.at/
공방 호,3.7,7건,리뷰 1,"서울 서초구 서래로6길 7 1, 2층",(지번) 반포동 91-6,02-547-5698,http://kabrew.co.kr/
구름공방 수락산점 호,4.0,6건,리뷰 7,서울 노원구 동일로242길 40-1,(지번) 상계동 1120-62,02-936-5089,http://www.gurumcraft.co.kr/
메디치가죽공방,5.0,1건,리뷰 90,서울 성동구 성수일로 10 서울숲ITCT 303호,(지번) 성수동1가 72-8,02-6362-0117,http://blog.naver.com/scuola_medici
존아저씨금속공예공방,0.0,0건,리뷰 0,서울 강동구 상암로 198 305호,(지번) 명일동 346-5,070-8737-0952,http://john316studio.com/
시간공방 스터디카,0.0,0건,리뷰 0,서울 강남구 논현로10길 26,(지번) 개포동 1184-1,02-575-1002,
협동조합사진공방 공간2,0.0,0건,리뷰 2,서울 종로구 자하문로11길 10-4,(지번) 통인동 124,02-395-0291,http://www.space291.com/
희락공방,0.0,0건,리뷰 12,서울 성동구 성덕정길 44 2층,(지번) 성수동1가 225-2,02-462-7913,http://heerak.modoo.at/
준멜리공방,0.0,0건,리뷰 3,서울 종로구 율곡로 185-1,(지번) 연건동 302-28,연락처 없음,https://www.junmely.co.kr/
빚다도예공방 가산본점,5.0,1건,리뷰 0,서울 금천구 디지털로9길 56 코오롱테크노벨리 305호,(지번) 가산동 60-4,연락처 없음,http://www.bitda.net/
Terry Kim 구두공방,5.0,1건,리뷰 0,서울 성동구 성덕정19길 22 1층,(지번) 성수동2가 224-1,연락처 없음,http://www.terrykim-shoemaker.com/
바비공방 을지로,3.3,6건,리뷰 11,서울 중구 을지로5길 26 종각센터원빌딩 지하1층 118호,(지번) 수하동 67,연락처 없음,
불광동커피공방,5.0,6건,리뷰 6,서울 은평구 통일로65길 15,(지번) 대조동 15-102,연락처 없음,http://www.instagram.com/cafemeister
현씨공방 호,2.9,11건,리뷰 15,서울 관악구 관악로16길 42 1층,(지번) 봉천동 1611-1,연락처 없음,
수담떡공,0.0,0건,리뷰 3,서울 강남구 봉은사로 418 조양빌딩 지하1층,(지번) 삼성동 113,02-558-0055,http://www.sdd.or.kr/
도자기공방,0.0,0건,리뷰 0,서울 송파구 송파대로48길 29,(지번) 송파동 33,연락처 없음,
공방백화점,5.0,1건,리뷰 2,서울 종로구 난계로27길 56,(지번) 숭인동 217-10,연락처 없음,http://ykk.or.kr/
주다르예술공방,0.0,0건,리뷰 17,서울 노원구 동일로195길 14-5 아트하우스 1층,(지번) 공릉동 323-33,연락처 없음,https://blog.naver.com/jeudart
다육공방 ,0.0,0건,리뷰 0,서울 성북구 종암로 78,(지번) 종암동 10-78,연락처 없음,
디저트공방 연,5.0,1건,리뷰 5,서울 강동구 성안로 101,(지번) 성내동 384-11,010-7732-5145,https://blog.naver.com/jumeoni
도자기체험공방초이,0.0,0건,리뷰 0,서울 구로구 오류로8길 96,(지번) 오류동 146-4,02-6497-2001,
초밥공,0.0,0건,리뷰 2,서울 성북구 동소문로25길 42,(지번) 동선동5가 100,연락처 없음,
아틀리에 후 가죽공방,0.0,0건,리뷰 0,서울 용산구 후암로 67-2,(지번) 후암동 93,연락처 없음,
유니버살레이저공방 홍,0.0,0건,리뷰 0,서울 마포구 홍익로5안길 53,(지번) 서교동 369-20,연락처 없음,
MM애견공,1.0,1건,리뷰 20,서울 송파구 백제고분로 165,(지번) 잠실동 234-8,02-418-5559,
해리앤가죽공방,0.0,0건,리뷰 1,서울 관악구 봉천로 442 태정빌딩 3층,(지번) 봉천동 884-6,010-9219-7159,https://blog.naver.com/harryanne
미소공,0.0,0건,리뷰 0,서울 구로구 개봉로17라길 50,(지번) 개봉동 303-12,02-2611-8352,http://blog.naver.com/alt0407
,"D 여니공방 미술,공예",0.0,0건,리뷰 1,(지번) 개봉동 303-12,02-2611-8352,http://smartstore.naver.com/yeoni_2017
보라믹공,0.0,0건,리뷰 16,서울 송파구 송이로2길 9-1,(지번) 송파동 102-5,02-2611-8352,
서울숲 군마상,0.0,0건,리뷰 2,서울 성동구 성수동1가 685-20,,연락처 없음,
미니어처공방&카,5.0,3건,리뷰 9,서울 관악구 관악로12길 10 지하1층,(지번) 봉천동 1597-8,연락처 없음,http://blog.naver.com/sspark4596
커피공방 날,5.0,2건,리뷰 4,서울 강동구 천호옛길 31 1층,(지번) 성내동 110-3,연락처 없음,
나무늘보나무,4.0,1건,리뷰 39,서울 영등포구 도림로135길 6,(지번) 문래동2가 14-21,010-2956-0754,https://www.instagram.com/super_neulbo/
명준공방,0.0,0건,리뷰 0,서울 강남구 개포로22길 12,(지번) 개포동 1231-5,연락처 없음,https://www.facebook.com/mjleathercraft
동림매듭,0.0,0건,리뷰 0,서울 종로구 북촌로12길 10,(지번) 가회동 11-7,연락처 없음,http://www.shimyoungmi.com/
비밤도자기공방,0.0,0건,리뷰 2,서울 마포구 동교로 212-16 2층,(지번) 동교동 153-14,연락처 없음,https://www.instagram.com/studio_beebalm/
가든한공방 중곡점 제,0.0,0건,리뷰 10,서울 광진구 용마산로 112 1층,(지번) 중곡동 18-75,연락처 없음,
보목,0.0,0건,리뷰 0,서울 중랑구 망우로 231-8 미영리치타운아파트 103동 상가 102호,(지번) 중화동 207-12,연락처 없음,http://thebomok.modoo.at/
식물공방 ,0.0,0건,리뷰 0,서울 송파구 오금로64길 6,(지번) 거여동 30-19,02-401-7289,
구피,0.0,0건,리뷰 0,서울 노원구 한글비석로48길 25 지하 1층,(지번) 상계동 135-56,연락처 없음,http://psk1552.blog.me/
뉴서울명찰컴퓨터자수,5.0,1건,리뷰 0,경기 고양시 일산서구 중앙로 1371,(지번) 주엽동 81,031-915-0580,
빵사부식빵공방 미아역점 제,1.0,4건,리뷰 5,서울 강북구 도봉로 190 비전빌딩 1층,(지번) 미아동 121-26,070-8823-5322,http://www.sikbanggongbang.com/
,"D 가든한공방 군자본점 제과,베이커리",0.0,0건,리뷰 1,(지번) 미아동 121-26,070-8823-5322,
반지공방960,5.0,2건,리뷰 0,서울 마포구 독막로 69 4층,(지번) 상수동 316-8,070-4219-0960,http://blog.naver.com/silver960
가죽공방 루니에,0.0,0건,리뷰 16,서울 성동구 성수이로7가길 21-17,(지번) 성수동2가 321-93,연락처 없음,http://blog.naver.com/purinane
서울옥,0.0,0건,리뷰 0,서울 강남구 도산대로 317 호림아트센터 4층,(지번) 신사동 651-27,02-514-2505,https://www.auctionblue.com/
빵사부식빵공방 연남점 제,0.0,0건,리뷰 3,서울 마포구 동교로27길 41 1층,(지번) 연남동 568-23,연락처 없음,http://xn--ob0b910amvb56g.kr/
서울아트,1.0,1건,리뷰 0,경기 성남시 분당구 성남대로858번길 14,(지번) 야탑동 527-5,031-707-4789,
아원공방,0.0,0건,리뷰 2,서울 종로구 북촌로5가길 3,(지번) 소격동 143,02-735-3482,
초이스공방,0.0,0건,리뷰 0,서울 영등포구 신길로42길 28,(지번) 신길동 4906-1,070-8262-1601,
오도르 가죽공방,0.0,0건,리뷰 0,서울 종로구 통일로12길 37,(지번) 무악동 46-937,010-2745-7928,
버밀라공방카페,0.0,0건,리뷰 1,서울 마포구 망원로8길 46 202호,(지번) 망원동 403-20,070-7574-9053,http://bumilla.com/
연분홍공방,0.0,0건,리뷰 7,서울 강남구 선릉로64길 15-15 에덴하우스 지하1층 101호,(지번) 대치동 923-35,연락처 없음,http://blog.naver.com/lovepinkyeon
미니미니공방 자,5.0,1건,리뷰 0,서울 성동구 성수일로6길 7-1,(지번) 성수동2가 301-98,연락처 없음,http://www.instagram.com/minix2labs
고씨네만두공방 ,0.0,0건,리뷰 6,서울 양천구 오목로 233 1층,(지번) 신정동 902-10,02-2693-5557,
빚다도예공방 강동점,5.0,2건,리뷰 4,서울 강동구 양재대로124길 91,(지번) 길동 78,070-8690-0361,http://www.bitda.net/
라니공방 도,0.0,0건,리뷰 0,서울 강동구 명일로 375 삼익그린아파트상가 3층,(지번) 명일동 15,02-427-0788,http://blog.naver.com/wngma001
,"D 제이로시뜨개공방 수예,자수",0.0,0건,리뷰 0,(지번) 명일동 15,02-427-0788,
언플러그드 가,0.0,0건,리뷰 0,서울 강북구 월계로37길 143 지하1층,(지번) 번동 269-3,010-2804-7714,http://unplugged.co.kr/
2막 커,5.0,5건,리뷰 0,서울 마포구 잔다리로7길 38 1층,(지번) 서교동 377-7,010-2804-7714,http://www.facebook.com/coffee2mak
준에이치 금속공예공방,0.0,1건,리뷰 0,서울 서대문구 연희맛로 17-18 1층,(지번) 연희동 130-13,070-7504-0773,https://junh.kr/
가죽공방 레더문,3.7,3건,리뷰 0,서울 영등포구 당산로 8,(지번) 문래동3가 58-92,연락처 없음,https://blog.naver.com/zerorikax
소울공방 ,5.0,1건,리뷰 2,서울 종로구 돈화문로 66-1 1층,(지번) 와룡동 63-1,02-547-5698,http://soulcrafts.modoo.at/
이연공방,5.0,1건,리뷰 1,서울 용산구 녹사평대로26가길 8,(지번) 이태원동 79-42,02-794-1214,
NO.7글러브공방,0.0,0건,리뷰 0,서울 마포구 신촌로2안길 48 지하 1층,(지번) 동교동 177-9,02-3142-7707,
24시 스터디카페 공부공,5.0,3건,리뷰 1,서울 성북구 고려대로 104-1 3층,(지번) 안암동5가 58-3,연락처 없음,
색실문양누비공방 개방화,0.0,0건,리뷰 0,서울 종로구 북촌로12길 17,(지번) 가회동 11-103,연락처 없음,
땜통도자기공방,0.0,0건,리뷰 0,서울 강남구 도산대로23길 7,(지번) 신사동 561-35,02-3274-0848,
구름공방 마곡점 호,5.0,2건,리뷰 5,서울 강서구 마곡서1로 115-1 마곡헤리움 1차 118호,(지번) 마곡동 731-129,02-3274-0848,http://www.gurumcraft.co.kr/
생활인도자기공방,5.0,1건,리뷰 0,서울 송파구 문정로 195,(지번) 오금동 160,010-2711-7903,
가죽공방한울,0.0,0건,리뷰 0,서울 동대문구 난계로 238 세양빌딩 2층,(지번) 신설동 114-25,02-2207-5464,http://www.xn--3o5bt1y.net/
스티치스가죽공방,0.0,0건,리뷰 17,서울 금천구 벚꽃로 244 벼산디지털밸리 5차 6층 606-4호,(지번) 가산동 60-73,010-4210-1618,https://blog.naver.com/stitches87
,D 우공공방 가구,5.0,4건,리뷰 0,(지번) 가산동 60-73,010-4210-1618,http://redghetto.blog.me/
가죽공방 라비무드,0.0,0건,리뷰 3,서울 영등포구 도림로 481 2층,(지번) 문래동4가 8-6,010-4210-1618,http://www.laviemude.info/
꽃과공방 ,0.0,0건,리뷰 0,서울 도봉구 해등로16길 66,(지번) 창동 268-6,02-457-9319,
향기나무가구공,0.0,0건,리뷰 0,서울 강서구 까치산로 161,(지번) 화곡동 1121-20,02-2605-4124,
서울,0.0,0건,리뷰 0,광주 북구 서방로 45,(지번) 중흥동 269-14,062-267-7979,
수정공방 ,0.0,0건,리뷰 0,서울 종로구 인사동길 19-2,(지번) 인사동 168,02-737-2054,
잇녀 가죽공방,0.0,0건,리뷰 1,서울 서초구 마방로10길 54-24 1층,(지번) 양재동 271-15,연락처 없음,http://best08itg.hubweb.net/
동백꽃공,0.0,0건,리뷰 12,서울 종로구 동숭1길 12 지하1층,(지번) 동숭동 129-164,연락처 없음,http://blog.naver.com/camellia_ss
가구공방 호큰공방,0.0,0건,리뷰 1,서울 동작구 여의대방로22길 112 지하1층,(지번) 신대방동 357-4,연락처 없음,https://smartstore.naver.com/hoaken
예그리나도예공방 도,0.0,0건,리뷰 0,서울 강동구 동남로81길 54,(지번) 고덕동 643-3,연락처 없음,
,3.4,5건,리뷰 5,서울 성동구 성수일로10길 26,(지번) 성수동2가 284-62,연락처 없음,
빵사부식빵공방 당고개점 제,0.0,0건,리뷰 2,서울 노원구 상계로 305 28호,(지번) 상계동 111,연락처 없음,http://sikbang.cafe24.com/
부암 도자기 공방 자루,5.0,1건,리뷰 0,서울 종로구 자하문로42길 51,(지번) 신영동 156-1,연락처 없음,https://www.instagram.com/buam00/
르샹스 케익공방,5.0,1건,리뷰 1,서울 마포구 와우산로11길 9-7,(지번) 상수동 93-113,연락처 없음,http://www.lechance7.com/
스시공,4.9,8건,리뷰 1,서울 관악구 남부순환로231길 9,(지번) 봉천동 1670-4,연락처 없음,http://instagram.com/sushi_231_9
강남도자기공방 동화담 ,1.0,2건,리뷰 5,서울 강남구 논현로36길 14,(지번) 도곡동 413-3,연락처 없음,
아이소피카 가죽공방,0.0,0건,리뷰 1,서울 서초구 방배천로4안길 52 1층,(지번) 방배동 454-1,연락처 없음,http://blog.naver.com/aesopica
피오니에떡공,0.0,0건,리뷰 77,서울 영등포구 영신로 237 당산롯데캐슬프레스티지상가 202호,(지번) 당산동4가 99,연락처 없음,https://linktr.ee/peonie
빚다도예공방성북점,0.0,0건,리뷰 4,서울 성북구 도봉로3길 9-3,(지번) 길음동 489-40,070-4696-9854,
이라디에 가죽공방,0.0,0건,리뷰 0,서울 동작구 신대방7길 14 지하1층,(지번) 신대방동 690-25,010-8827-6376,https://blog.naver.com/lovekind7
금미공방 ,5.0,4건,리뷰 0,서울 송파구 석촌호수로 152 광원빌딩 1층,(지번) 삼전동 22-9,02-422-8784,
메이앤공,5.0,1건,리뷰 0,서울 마포구 월드컵북로38길 45,(지번) 중동 48-21,02-307-2022,http://mayn.kr/
아피스가죽공방,0.0,0건,리뷰 5,서울 강동구 천중로51길 48 지하,(지번) 길동 330-1,02-307-2022,http://blog.naver.com/apis-leather
담쟁이공,0.0,0건,리뷰 0,서울 동대문구 외대역동로 127,(지번) 이문동 116-5,02-969-4489,
